cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_loss_momentum,train_loss_momentum_raw,train_loss_momentum_weighted,train_loss_pbc,train_loss_pbc_raw,train_loss_pbc_weighted,train_momentum_to_supervised_ratio,train_neg_dy_mse_loss,train_physics_to_supervised_ratio,train_short_rollout_failure_rate,train_short_rollout_max_abs_drift_eV,train_short_rollout_mean_abs_drift_eV,train_short_rollout_success_count,train_total_mse_loss,train_total_with_physics,train_y_mse_loss,val_energy_mae,val_energy_rmse,val_force_mae,val_force_rmse,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_rollout_fail_energy_numerical_blowup_count,val_rollout_fail_exception_count,val_rollout_fail_force_or_energy_numerical_blowup_count,val_rollout_fail_initial_force_or_energy_numerical_blowup_count,val_rollout_fail_no_valid_start_count,val_rollout_fail_position_numerical_blowup_count,val_rollout_failure_rate,val_rollout_median_abs_final_drift_eV,val_rollout_median_max_abs_drift_eV,val_rollout_median_mean_abs_drift_eV,val_rollout_score,val_rollout_success_count,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
5173.309840881731,0.0,5173.309840881731,10590,9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.09283447265625,0.0,0.0,12.53125,8.8125,3.0,1226160640.0,1226380672.0,24523204608.0,20.247802734375,20.426788330078125,5.0104851722717285,6.997677803039551,4.911075115203857,46.74492263793945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.96875,156.96875,39.63687515258789,118.12124633789062,6.0,5.6863789558410645,65.55599975585938,20.417144775390625,422.9665222167969
7801.463169734925,1.0,2628.1533288531937,15885,9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.4387664794922,0.0,0.0,14.53125,9.306249618530273,3.0,3489.37353515625,3489.749267578125,65580.1328125,133.34521484375,133.36366271972656,3.8033807277679443,5.305761337280273,3.729576349258423,26.99825096130371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.90625,27.78125,11.316875457763672,25.207500457763672,6.0,10.197556495666504,911.5028076171875,133.08917236328125,17717.08984375
10419.575190162752,2.0,2618.112020427827,21180,9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.93311309814453,0.0,0.0,16.6875,12.728124618530273,3.0,1772.0531005859375,1772.057373046875,34017.33203125,97.78173828125,97.79850006103516,3.873222827911377,5.297747611999512,3.805652141571045,27.210176467895508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.546875,34.875,18.411874771118164,35.8493766784668,6.0,8.491827011108398,501.60443115234375,97.52913665771484,9515.09375
13002.253551563714,3.0,2582.678361400962,26475,9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.42323303222656,0.0,0.0,13.5,10.740625381469727,3.0,3423.115966796875,3423.282470703125,64293.2734375,193.24560546875,193.2530517578125,3.0682802200317383,4.308840274810791,2.9747986793518066,17.500457763671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1875,25.515625,13.5287504196167,26.286561965942383,6.0,12.499374389648438,1888.217529296875,193.46630859375,37431.83984375
15610.699698925018,4.0,2608.4461473613046,31770,9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.56424713134766,0.0,0.0,21.96875,10.96875,3.0,2017.6336669921875,2017.4227294921875,38327.953125,380.7724609375,380.78076171875,4.640767574310303,6.290041923522949,4.590345859527588,38.574066162109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19453.09375,19455.34375,8202.923828125,17930.595703125,6.0,23.38528823852539,7275.53564453125,380.4891662597656,144777.8125
18224.479979835916,5.0,2613.780280910898,37065,9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.51083374023438,0.0,0.0,16.46875,8.096875190734863,3.0,1688.9678955078125,1689.1893310546875,31299.650390625,17.577392578125,17.661279678344727,3.295116662979126,4.682604789733887,3.2038021087646484,20.418670654296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.265625,101.765625,38.819374084472656,89.70218658447266,6.0,3.929109573364258,35.20612335205078,17.709951400756836,316.16766357421875
20853.24963839585,6.0,2628.7696585599333,42360,9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.844480514526367,0.0,0.0,17.40625,12.543749809265137,3.0,1183.81591796875,1184.0081787109375,23090.2734375,50.1494140625,50.15755081176758,1.879071831703186,2.8358864784240723,1.8469009399414062,7.646008014678955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.65625,23.359375,16.709375381469727,28.389062881469727,6.0,4.257131099700928,132.5697021484375,50.051513671875,2506.11962890625
23486.293902036734,7.0,2633.0442636408843,47655,9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.314230918884277,0.0,0.0,16.46875,13.331250190734863,3.0,896.28125,896.4247436523438,17653.654296875,89.216064453125,89.21930694580078,1.2778488397598267,1.8273298740386963,1.2573391199111938,3.4208054542541504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.671875,45.90625,24.404375076293945,47.35749816894531,6.0,5.658550262451172,401.8385925292969,89.28155517578125,7971.7763671875
26108.389505305793,8.0,2622.095603269059,52950,9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.361169815063477,0.0,0.0,15.53125,9.8125,3.0,864.1630249023438,864.2993774414062,16915.39453125,140.76708984375,140.77479553222656,2.1443722248077393,3.1812338829040527,2.130624532699585,9.920050621032715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11618.375,11626.84375,5565.32861328125,11378.7509765625,6.0,9.071805953979492,1002.927490234375,140.95425415039062,19870.06640625
28736.69896058878,9.0,2628.309455282986,58245,9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.042481422424316,0.0,0.0,15.4375,10.550000190734863,3.0,673.8965454101562,673.6945190429688,13211.123046875,124.87451171875,124.87641143798828,1.3975954055786133,2.050092935562134,1.3703526258468628,4.090656280517578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7769.40625,7770.734375,660.11376953125,4545.48095703125,6.0,7.543007850646973,782.9539184570312,124.82344818115234,15581.3564453125
