cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_loss_momentum_per_molecule,train_loss_momentum_per_molecule_weighted,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_total_with_momentum,train_y_mse_loss,train_y_weight,val_checkpoint_score,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
1063.9610055945814,0.0,1063.9610055945814,80,9.999999747378752e-05,27.10173988342285,0.271017462015152,4.425915718078613,0.949999988079071,39599300.0,39599308.0,791985920.0,0.05000000074505806,31653482.0,1.3216571807861328,3.9351420402526855,1259.2989501953125,31653484.0,25160.869140625,633069568.0
1599.5491565912962,1.0,535.5881509967148,120,9.999999747378752e-05,94.83065032958984,0.948307454586029,8.353811264038086,0.949999988079071,22015338.0,22015340.0,440306624.0,0.05000000074505806,11799653.0,3.1006805896759033,19.085641860961914,771.0468139648438,11799654.0,15362.0234375,235992704.0
2124.6822830270976,2.0,525.1331264358014,160,9.999999747378752e-05,294.9500427246094,2.9495060443878174,32.42629623413086,0.949999988079071,4787449.5,4787455.5,95748368.0,0.05000000074505806,94406.3203125,2.792104482650757,27.312326431274414,71.33663177490234,94406.3203125,1373.6826171875,1887607.5
2657.490403339267,3.0,532.8081203121692,200,9.999999747378752e-05,181.7781524658203,1.8177809715270996,22.626686096191406,0.949999988079071,7592.6083984375,7594.423828125,151422.265625,0.05000000074505806,1203.322021484375,2.096662998199463,12.62635326385498,9.630842208862305,1203.3221435546875,152.78024291992188,23826.541015625
3180.872794228606,4.0,523.3823908893391,240,9.999999747378752e-05,101.41432189941406,1.01414155960083,9.566780090332031,0.949999988079071,519.7694702148438,520.7832641601562,10213.6201171875,0.05000000074505806,80.38237762451172,1.3874233961105347,6.841067314147949,3.188990354537964,80.38237762451172,37.418766021728516,1477.667236328125
3711.7331599202007,5.0,530.8603656915948,280,9.999999747378752e-05,82.2249984741211,0.8222507834434509,6.480806350708008,0.949999988079071,437.44677734375,438.2691345214844,8625.80078125,0.05000000074505806,1408.4222412109375,1.2039228677749634,5.4829182624816895,9.503390312194824,1408.4222412109375,167.19329833984375,28064.26953125
4247.209173650481,6.0,535.4760137302801,320,9.999999747378752e-05,76.56229400634766,0.765623152256012,5.7013373374938965,0.949999988079071,539.2853393554688,540.05078125,10677.380859375,0.05000000074505806,18.728126525878906,1.1230844259262085,5.179610252380371,1.7997562885284424,18.728126525878906,14.656519889831543,276.14996337890625
4780.154674624093,7.0,532.9455009736121,360,9.999999747378752e-05,70.97930145263672,0.7097929120063782,4.957769870758057,0.949999988079071,367.196533203125,367.9064025878906,7249.7333984375,0.05000000074505806,97.57865905761719,0.9693759679794312,4.341895580291748,3.061465263366699,97.57865905761719,42.811161041259766,1869.0771484375
5312.917778204195,8.0,532.7631035801023,400,9.999999747378752e-05,70.34150695800781,0.7034149169921875,4.193918228149414,0.949999988079071,337.7733154296875,338.4766845703125,6675.78173828125,0.05000000074505806,108.7498550415039,0.9015229344367981,3.8127026557922363,3.126833915710449,108.74984741210938,45.407745361328125,2102.5556640625
5841.088704342954,9.0,528.1709261387587,440,9.999999747378752e-05,64.71159362792969,0.6471156477928162,3.787332534790039,0.949999988079071,759.0049438476562,759.6517333984375,15108.1396484375,0.05000000074505806,392.87689208984375,0.8658328056335449,3.480254888534546,5.224412441253662,392.876953125,88.03742218017578,7791.4130859375
