r_angstrom,O-O_rollout,O-O_reference,O-H_rollout,O-H_reference,H-H_rollout,H-H_reference
0.010413841724395786,0.0,0.0,0.0,0.0,0.0,0.0
0.03124152517318736,0.0,0.0,0.0,0.0,0.0,0.0
0.05206920862197893,0.0,0.0,0.0,0.0,0.0,0.0
0.0728968920707705,0.0,0.0,0.0,0.0,0.0,0.0
0.09372457551956208,0.0,0.0,0.0,0.0,0.0,0.0
0.11455225896835365,0.0,0.0,0.0,0.0,0.0,0.0
0.13537994241714524,0.0,0.0,0.0,0.0,0.0,0.0
0.15620762586593678,0.0,0.0,0.0,0.0,0.0,0.0
0.17703530931472838,0.0,0.0,0.0,0.0,0.0,0.0
0.19786299276351993,0.0,0.0,0.0,0.0,0.0,0.0
0.21869067621231153,0.0,0.0,0.0,0.0,0.0,0.0
0.23951835966110308,0.0,0.0,0.0,0.0,0.0,0.0
0.2603460431098947,0.0,0.0,0.0,0.0,0.0,0.0
0.2811737265586863,0.0,0.0,0.0,0.0,0.0,0.0
0.3020014100074778,0.0,0.0,0.0,0.0,0.0,0.0
0.32282909345626937,0.0,0.0,0.0,0.0,0.0,0.0
0.34365677690506097,0.0,0.0,0.0,0.0,0.0,0.0
0.36448446035385257,0.0,0.0,0.0,0.0,0.0,0.0
0.3853121438026441,0.0,0.0,0.0,0.0,0.0,0.0
0.40613982725143566,0.0,0.0,0.0,0.0,0.0,0.0
0.42696751070022726,0.0,0.0,0.0,0.0,0.0,0.0
0.44779519414901886,0.0,0.0,0.0,0.0,0.0,0.0
0.4686228775978104,0.0,0.0,0.0,0.0,0.0,0.0
0.48945056104660195,0.0,0.0,0.0,0.0,0.0,0.0
0.5102782444953935,0.0,0.0,0.0,0.0,0.0,0.0
0.5311059279441851,0.0,0.0,0.0,0.0,0.0,0.0
0.5519336113929767,0.0,0.0,0.0,0.0,0.0,0.0
0.5727612948417682,0.0,0.0,0.0,0.0,0.0,0.0
0.5935889782905598,0.0,0.0,0.0,0.0,0.0,0.0
0.6144166617393514,0.0,0.0,0.0,0.0,0.0,0.0
0.6352443451881429,0.0,0.0,0.001991755686927461,0.0,0.0,0.007960105929248885
0.6560720286369345,0.0,0.0,0.0018673127719901052,0.0,0.0,0.008615301810576344
0.6768997120857261,0.0,0.0,0.0,0.0,0.0,0.0
0.6977273955345177,0.0,0.0,0.0016510217173194362,0.0,0.0,0.0
0.7185550789833093,0.0,0.0,0.0,0.0,0.0,0.005076760531221564
0.7393827624321008,0.0,0.0,0.0,0.0,0.0,0.0
0.7602104458808924,0.0,0.0,0.0,0.1092557287569328,0.0,0.0
0.781038129329684,0.0,0.0,0.0013176084669861443,0.3020782984983288,0.005270433867944577,0.0046358294383638254
0.8018658127784755,0.0,0.0,0.016250701953854075,0.6310814913442344,0.008750377975152192,0.0059441888822656715
0.8226934962272671,0.0,0.0,0.04275232736588838,0.8715594442437995,0.02018859903389174,0.0
0.8435211796760587,0.0,0.0,0.12877969395091585,1.3685184535515516,0.0530933825937987,0.0
0.8643488631248503,0.0,0.0,0.42819393625728563,2.494248981807968,0.07746221962443335,0.00435290165153889
0.8851765465736419,0.0,0.0,1.4638639794058155,4.370445406841122,0.1251516506569801,0.0
0.9060042300224334,0.0,0.0,4.50927417875602,5.787027165398804,0.20955150363817426,0.003055531024432
0.926831913471225,0.0,0.0,13.268217460528856,7.249496422330054,0.22456785546734312,0.0
0.9476595969200166,0.0,0.0,26.696756941783203,10.707988671319054,0.20675039739680506,0.003714351057428335
0.968487280368808,0.0,0.0,30.945930521567973,18.372504033780125,0.23051770354180956,0.0
0.9893149638175996,0.0,0.0,18.932102125485553,10.235940435665793,0.22830540020322757,0.0
1.0101426472663912,0.0,0.0,7.830007342328561,7.979710170406513,0.22450222259191582,0.006017603456619757
1.0309703307151827,0.0,0.0,2.8570078467863653,5.895018169144168,0.2578718040640937,0.002843668117767379
1.0517980141639744,0.0,0.0,1.159606356692524,3.9720363358520245,0.24630736523731905,0.0
1.072625697612766,0.0,0.0,0.5358483629180029,2.7907645401069328,0.21797221542427397,0.0
1.0934533810615576,0.0,0.0,0.2884032848506524,1.872453796210836,0.1956302002133788,0.0030989671097597852
1.1142810645103491,0.0,0.0,0.166374806266349,1.2094373564881882,0.16702217905337755,0.0
1.1351087479591406,0.0,0.0,0.09357519002717758,0.8013854578303206,0.12726225843696132,0.007842126733362815
1.1559364314079323,0.0,0.0,0.06556973523659607,0.45522682197997205,0.09263980941684245,0.013541647461803414
1.1767641148567238,0.0,0.0,0.046436171011502866,0.3187326217802982,0.08474601209599274,0.020126855067015045
1.1975917983055153,0.0,0.0,0.03474719100486966,0.24267680618718998,0.07846139904325411,0.037196915720275676
1.218419481754307,0.0,0.0,0.020033372408876777,0.19194449499260482,0.07634339215274677,0.03321489132188582
1.2392471652030985,0.0,0.0,0.019365656202046715,0.1131397513674185,0.08269658594387534,0.039297933946475065
1.26007484865189,0.0,0.0,0.014680877292070104,0.08123420125425582,0.08909773804842533,0.06677558780544046
1.2809025321006817,0.0,0.0,0.009308258775189596,0.09538869636479391,0.1136587387286304,0.11526518543589463
1.3017302155494732,0.0,0.0,0.011858925936971033,0.05819574502150703,0.13281997049407518,0.18219396904967838
1.322557898998265,0.0,0.0,0.012407434347341702,0.06460966611468841,0.14567246992990096,0.19601157999946167
