condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,1,18725.73225680054,11.974993439572597,29973.3437510878,28692.73580433902
water_absolute,0,2,1900179.4997393335,1215.1500705547444,1666350.1054606107,3820330.4270471726
water_absolute,0,3,62903.35023035188,40.23399435046953,72445.82188928885,93855.0808762951
water_absolute,0,4,12686059.10802234,8116.964782000686,16944290.849278342,30406836.097904846
water_absolute,0,5,184934.6367980494,118.28053371632721,228612.09479100496,352227.9270815824
water_absolute+momentum,0,1,7070.138916157551,4.521835316621766,17834.862501032127,10744.823595971624
water_absolute+momentum,0,2,856.8938601896434,0.5480011556815512,4414.473442786106,1638.6105128636816
water_absolute+momentum,0,3,368.0841758765799,0.23544764765554166,1988.9902142438239,853.9882116795324
water_absolute+momentum,0,4,1597.735532657623,1.0223736500271596,6938.006063148822,2284.527578059732
water_absolute+momentum,0,5,12014.555931962717,7.684824182456028,11187.723733840538,12406.251467386524
