condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,0,12504.888897446164,8.00068254569702,36302.31891648115,23088.133293210343
water_absolute,1,0,5959874.720295681,3813.14168053719,17336948.78946451,16569404.435777247
water_absolute,2,0,28931.59269075132,18.51086788657398,51496.956001266364,48339.54856849562
water_absolute,3,0,11119.259651382683,7.114194183616454,32466.4221137656,14742.468049279283
water_absolute,4,0,5544512.3995317435,3547.342593646176,4005305.9188031787,7874790.977958928
water_absolute+momentum,0,0,224.12661906812068,0.14338426510125404,1769.550098469422,308.7012578808706
water_absolute+momentum,1,0,126038911.5309998,80632.71457287327,83330187.23225167,180365228.52168468
water_absolute+momentum,2,0,3051886.726471203,1952.4666189583347,4633473.750264104,6560043.149785401
water_absolute+momentum,3,0,32835061.920453336,21006.244855353823,149232137.7788359,76667021.51449312
water_absolute+momentum,4,0,86944322.4508868,55621.3851287279,264706504.50649086,136441049.05580524
