condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,0,-0.003403409645367598,-2.1772577472796255e-06,754.6431869500701,23.980890452951087
water_absolute,1,0,0.03529099490151566,2.257657884796344e-05,762.2886658138764,27.73438369262823
water_absolute,2,0,0.043597592120174035,2.7891080033247666e-05,779.2023358282504,38.290335538961884
water_absolute,3,0,0.00438909728472936,2.8078473700909634e-06,792.548670150222,31.151425995975867
water_absolute,4,0,0.041818448285842656,2.6751989119062252e-05,772.2504184547521,29.652074655528075
water_absolute+momentum,0,0,0.04436241550820341,2.8377844596011838e-05,707.0772921190031,29.768212677440275
water_absolute+momentum,1,0,0.05638006617421828,3.606520093360575e-05,689.987008032267,29.079771700944587
water_absolute+momentum,2,0,0.06500627553881107,4.158404049476848e-05,736.427109037366,29.468157866418426
water_absolute+momentum,3,0,0.03173386329535788,2.029970753359428e-05,701.4164617560344,23.81784456302087
water_absolute+momentum,4,0,0.045186135215165756,2.8904267310750557e-05,694.4620457311397,28.21084469186167
