attr.best_model_path,attr.best_model_score,attr.epoch,attr.lr,attr.objective_metric_value,attr.post_test.test_neg_dy_l1_loss,attr.post_test.test_total_l1_loss,attr.post_test.test_y_l1_loss,attr.test.test_neg_dy_l1_loss,attr.test.test_total_l1_loss,attr.test.test_y_l1_loss,attr.train_loss_momentum,attr.train_loss_nve,attr.train_loss_pbc,attr.train_neg_dy_mse_loss,attr.train_nve_weight_effective,attr.train_total_mse_loss,attr.train_total_with_physics,attr.train_y_mse_loss,attr.val_neg_dy_l1_loss,attr.val_neg_dy_mse_loss,attr.val_total_l1_loss,attr.val_total_mse_loss,attr.val_y_l1_loss,attr.val_y_mse_loss,objective,param.baseline_cutoff_A,param.baseline_epsilon_eV,param.baseline_sigma_A,param.batch_size,param.embedding_dimension,param.energy_weight,param.force_weight,param.lr,param.momentum_weight,param.num_layers,param.num_rbf,param.nve_dt_fs,param.nve_freq,param.nve_loss_mode,param.nve_ramp_epochs,param.nve_relative,param.nve_relative_eps,param.nve_warmup_epochs,param.nve_weight,param.traj_length,param.weight_decay,status,trial
/home/lachmadh/projects/MDPinn/results/experiments/aspirin_optuna_physics/optuna/aspirin_optuna_physics/trial_0000/checkpoints/trial_0000.ckpt,19.806791305541992,9.0,0.00029106359579600394,9209.6181640625,3.3570199012756348,3.330399751663208,3.0581438541412354,3.3570199012756348,3.330399751663208,3.0581438541412354,6.990147349839049e-10,1.0415421724319458,0.0,85.07771301269531,0.00917046982795,5091.76806640625,5090.6513671875,23946.39453125,2.74418568611145,14.434100151062012,46.12417984008789,9209.6181640625,209.38548278808594,43844.90234375,9209.6181640625,5.159725093210579,0.0032877474139911193,1.2871346474483567,32,64,0.2097862337921012,0.8009613865627863,0.000291063591313307,0.009091248360355032,2,64,0.1,50,total_energy,5,False,6.245139574743075e-05,0,0.00917022549267169,30,2.4810409748678096e-06,complete,0
/home/lachmadh/projects/MDPinn/results/experiments/aspirin_optuna_physics/optuna/aspirin_optuna_physics/trial_0001/checkpoints/trial_0001.ckpt,9.155248641967773,9.0,1.7541893612360582e-05,86.156494140625,2.0601181983947754,2.448671817779541,2.1439428329467773,2.0601181983947754,2.448671817779541,2.1439428329467773,5.928506019436952e-10,109.13914489746094,0.0,18.261781692504883,0.04473918676376343,134.3832550048828,139.27130126953125,483.26947021484375,5.682500839233398,55.942691802978516,8.13724422454834,86.156494140625,11.612024307250977,139.23486328125,86.156494140625,3.4424625102595976,0.010370844668954535,1.8828113525346752,16,128,0.24270031066349407,0.9360318776066675,1.7541893487450798e-05,0.046974947078209456,2,32,0.5,50,potential_only,3,False,6.235377135673148e-08,2,0.04474136752138244,40,9.565499215943814e-07,complete,1
/home/lachmadh/projects/MDPinn/results/experiments/aspirin_optuna_physics/optuna/aspirin_optuna_physics/trial_0002/checkpoints/trial_0002.ckpt,5.772567272186279,9.0,5.211124516790733e-05,660.0873413085938,1.7684262990951538,1.791481375694275,1.1875556707382202,1.7684262990951538,1.791481375694275,1.1875556707382202,5.413225978578851e-10,2.2240753173828125,0.0,14.426056861877441,0.03566522151231766,186.89271545410156,186.94581604003906,782.4762573242188,5.470568656921387,57.411407470703125,16.370426177978516,660.0873413085938,52.24714279174805,2738.61474609375,660.0873413085938,6.854835899772805,0.01961331382415545,1.3419157963542443,16,64,0.22293105821831838,0.8633315820388678,5.211124595788268e-05,0.005979712296915085,6,32,0.1,25,total_energy,1,False,2.0319809838424963e-08,0,0.035662239361149754,30,2.907208890659844e-08,complete,2
,,,,,,,,,,,,,,,,,,,,,,,,,22030.142578125,3.599326836668414,0.005118807219845014,0.8331617157060953,32,64,0.20632354382139834,0.9565753399815224,0.00040489662225846743,0.0003476065265595352,2,64,0.1,25,potential_only,1,True,1.0249816559563211e-06,0,0.02553736512887829,30,5.575453980775358e-08,pruned,3
,,,,,,,,,,,,,,,,,,,,,,,,,1326.316162109375,6.387821809211412,0.0011729398526129197,1.3863394147823627,32,128,0.03166954481305799,0.9504725989414171,0.0009360540102485373,0.016039003248586793,2,32,0.1,50,total_energy,5,False,4.364516946807789e-06,1,0.009325925519992713,30,9.294394155644978e-08,pruned,4
,,,,,,,,,,,,,,,,,,,,,,,,,2730.437744140625,3.0253079192310937,0.001487294964712418,1.4952526536620838,32,256,0.048790891382707306,0.965653005246499,0.0006321732490144021,0.0303214529829795,2,32,0.1,50,total_energy,3,False,2.9570809414943436e-07,2,0.0004598525808314824,40,3.4072643485301908e-06,pruned,5
,,,,,,,,,,,,,,,,,,,,,,,,,4769.98486328125,5.140920741586571,0.0010623321569909535,1.8924778438815881,16,64,0.23571006024469943,0.978942858480621,0.0003887072196612053,0.04574321951102243,2,32,0.1,50,potential_only,1,True,9.124632886689909e-05,2,0.01850793501277222,20,1.024585893986732e-06,pruned,6
,,,,,,,,,,,,,,,,,,,,,,,,,1855.0845947265625,5.89140070498087,0.004346144590956212,0.6409729097613035,32,256,0.1784720505418488,0.9409902406646642,5.2357910022992983e-05,0.044500267090878315,2,32,0.5,25,potential_only,5,True,2.194774268919729e-08,1,0.01689975784257679,40,1.4940577239079729e-07,pruned,7
,,,,,,,,,,,,,,,,,,,,,,,,,231.14820861816406,6.300986883588656,0.008572739537598708,1.5718938840500936,32,64,0.10814870665942476,0.791590636817003,0.0001077955162095017,0.007821852133554302,6,32,0.1,25,total_energy,3,True,6.52576510834236e-06,2,0.012512144908229767,30,1.9580595319750375e-07,pruned,8
/home/lachmadh/projects/MDPinn/results/experiments/aspirin_optuna_physics/optuna/aspirin_optuna_physics/trial_0009/checkpoints/trial_0009.ckpt,12.624387741088867,9.0,6.266275158850476e-05,77.34851837158203,2.3568713665008545,2.401244640350342,10.031272888183594,2.3568713665008545,2.401244640350342,10.031272888183594,8.809413754029549e-10,1.1439144611358643,0.0,13.833730697631836,0.02928789146244526,70.58905029296875,70.6280746459961,2156.214111328125,1.6921117305755615,5.701887130737305,2.924156427383423,77.34851837158203,51.75809097290039,2680.117431640625,77.34851837158203,4.940849631032609,0.03957518715404545,1.3632112668138183,32,64,0.026936499376103165,0.9041806267695157,6.266275266989062e-05,0.0013255655270810907,6,32,0.1,50,total_energy,1,False,1.8875676307822242e-07,0,0.029288779063673165,20,2.9067012153229084e-06,complete,9
