cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_loss_momentum_per_molecule,train_loss_momentum_per_molecule_weighted,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_total_with_momentum,train_y_mse_loss,train_y_weight,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
1037.1930888155475,0.0,1037.1930888155475,80,9.999999747378752e-05,13.387781143188477,0.13387788832187653,4.105525016784668,0.949999988079071,39588992.0,39588960.0,791779712.0,0.05000000074505806,1.2741410732269287,3.526113748550415,1259.063232421875,31643888.0,25157.056640625,632877760.0
1562.7399083524942,1.0,525.5468195369467,120,9.999999747378752e-05,79.1162338256836,0.7911622524261475,7.880309104919434,0.949999988079071,22007658.0,22007668.0,440152960.0,0.05000000074505806,3.06451678276062,18.470455169677734,770.8218383789062,11793794.0,15358.2099609375,235875520.0
2083.7288216846064,2.0,520.9889133321121,160,9.999999747378752e-05,283.2529296875,2.832528829574585,31.89457893371582,0.949999988079071,4784182.0,4784189.5,95683032.0,0.05000000074505806,2.764573097229004,26.884157180786133,71.1181640625,93873.4296875,1369.8363037109375,1876957.875
2602.9956778595224,3.0,519.266856174916,200,9.999999747378752e-05,179.28733825683594,1.7928752899169922,22.39209747314453,0.949999988079071,8010.9296875,8012.7158203125,159793.140625,0.05000000074505806,2.1685802936553955,12.29914665222168,9.796552658081055,1223.4808349609375,154.72802734375,24235.93359375
3124.4819806925952,4.0,521.4863028330728,240,9.999999747378752e-05,111.54281616210938,1.115427851676941,10.769487380981445,0.949999988079071,1129.6710205078125,1130.78662109375,22388.798828125,0.05000000074505806,1.655221700668335,8.12568187713623,4.5692830085754395,192.4793701171875,59.93644332885742,3695.199462890625
3642.6820000195876,5.0,518.2000193269923,280,9.999999747378752e-05,82.99856567382812,0.8299842476844788,8.140788078308105,0.949999988079071,239.63906860351562,240.46896362304688,4638.10595703125,0.05000000074505806,1.5004831552505493,6.890892028808594,2.8649072647094727,51.86638641357422,28.788963317871094,906.4006958007812
4162.464643857442,6.0,519.7826438378543,320,9.999999747378752e-05,70.83979034423828,0.708397626876831,7.1450114250183105,0.949999988079071,259.17059326171875,259.8790588378906,5047.65625,0.05000000074505806,1.8246901035308838,7.192685604095459,6.5531182289123535,563.9169311523438,96.39324188232422,11141.677734375
4679.330059981905,7.0,516.8654161244631,360,9.999999747378752e-05,74.07742309570312,0.7407742142677307,6.775722026824951,0.949999988079071,442.424072265625,443.1645812988281,8719.7431640625,0.05000000074505806,1.2933615446090698,4.629787445068359,6.940106391906738,661.7993774414062,114.22825622558594,13148.0205078125
5192.652248452418,8.0,513.3221884705126,400,9.999999747378752e-05,58.520896911621094,0.5852094888687134,4.416015625,0.949999988079071,259.37158203125,259.9566650390625,5103.52783203125,0.05000000074505806,1.024963140487671,3.564718723297119,4.707456111907959,284.92236328125,74.67481994628906,5630.71728515625
5715.46296282392,9.0,522.8107143715024,440,9.999999747378752e-05,54.25109100341797,0.5425106287002563,3.3136606216430664,0.949999988079071,72.60364532470703,73.14623260498047,1389.11328125,0.05000000074505806,0.807084858417511,2.330533027648926,1.3264579772949219,10.973999977111816,11.194550514221191,175.1998748779297
6234.066384227946,10.0,518.6034214040264,480,9.999999747378752e-05,42.965614318847656,0.42965659499168396,2.5014734268188477,0.949999988079071,46.14376449584961,46.57339859008789,875.3472290039062,0.05000000074505806,0.7623392343521118,2.171119451522827,1.9852443933486938,35.21971130371094,25.220443725585938,663.1428833007812
6754.7711445065215,11.0,520.7047602785751,520,9.999999747378752e-05,42.46651840209961,0.4246649742126465,2.39241099357605,0.949999988079071,42.08805847167969,42.5127067565918,796.3053588867188,0.05000000074505806,0.7415832877159119,2.0971128940582275,2.8350870609283447,93.70547485351562,42.61166000366211,1834.2645263671875
7270.899411405437,12.0,516.1282668989152,560,9.999999747378752e-05,43.74134063720703,0.43741318583488464,2.262791872024536,0.949999988079071,55.54310607910156,55.980491638183594,1067.868896484375,0.05000000074505806,0.7143418192863464,1.9534705877304077,1.1828699111938477,8.019678115844727,10.084905624389648,123.27763366699219
7787.327736834064,13.0,516.4283254286274,600,9.999999747378752e-05,43.01634216308594,0.43016356229782104,2.0199010372161865,0.949999988079071,53.30790710449219,53.7380485534668,1027.780029296875,0.05000000074505806,0.6543861627578735,1.6825737953186035,3.1651558876037598,131.67550659179688,50.86977767944336,2601.541259765625
