cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_y_mse_loss,train_y_weight,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
513.5717898821458,0.0,513.5717898821458,80,9.999999747378752e-05,3.723069906234741,0.949999988079071,39909824.0,798196288.0,0.05000000074505806,1.2011810541152954,3.4960811138153076,1270.234375,32211962.0,25381.86328125,644239232.0
770.6131961205974,1.0,257.0414062384516,120,9.999999747378752e-05,7.471577167510986,0.949999988079071,22734798.0,454695840.0,0.05000000074505806,2.95177960395813,17.06548500061035,805.6113891601562,12890040.0,16056.1435546875,257800448.0
1029.0145360566676,2.0,258.40133993607014,160,9.999999747378752e-05,24.189638137817383,0.949999988079071,5789403.5,115787608.0,0.05000000074505806,2.2816994190216064,17.650617599487305,161.29934692382812,506505.21875,3182.634521484375,10129768.0
1286.7848450671881,3.0,257.7703090105206,200,9.999999747378752e-05,22.90772247314453,0.949999988079071,51677.90625,1033122.875,0.05000000074505806,2.6477997303009033,15.132979393005371,3.333472967147827,33.129852294921875,16.36126708984375,375.0704040527344
1543.3506836248562,4.0,256.56583855766803,240,9.999999747378752e-05,10.757634162902832,0.949999988079071,1304.9898681640625,25895.404296875,0.05000000074505806,1.7615879774093628,7.939901828765869,4.29976224899292,155.89794921875,52.52507400512695,2967.100830078125
1797.9355632811785,5.0,254.5848796563223,280,9.999999747378752e-05,7.208837509155273,0.949999988079071,1056.8848876953125,21000.73046875,0.05000000074505806,1.3817299604415894,5.575068950653076,1.8541717529296875,13.197125434875488,10.83056640625,158.0161895751953
2054.8013288294896,6.0,256.8657655483112,320,9.999999747378752e-05,5.4870991706848145,0.949999988079071,138.33987426757812,2662.54248046875,0.05000000074505806,1.2412127256393433,4.362462520599365,1.4130131006240845,6.006516933441162,4.677221775054932,37.24354934692383
2312.4917081985623,7.0,257.6903793690726,360,9.999999747378752e-05,4.2020182609558105,0.949999988079071,127.50597381591797,2470.281005859375,0.05000000074505806,1.0315073728561401,3.1856164932250977,1.1908897161483765,4.5387725830078125,4.219152927398682,30.248743057250977
2570.0351047152653,8.0,257.54339651670307,400,9.999999747378752e-05,3.4288806915283203,0.949999988079071,123.68251037597656,2408.50146484375,0.05000000074505806,0.9134912490844727,2.6781845092773438,2.4830658435821533,56.80659103393555,32.30498123168945,1085.246337890625
2827.9172503147274,9.0,257.8821455994621,440,9.999999747378752e-05,2.7143807411193848,0.949999988079071,253.26617431640625,5013.74951171875,0.05000000074505806,0.8159955143928528,2.1124675273895264,3.758547306060791,180.79052734375,59.667030334472656,3575.673828125
3083.5056721819565,10.0,255.58842186722904,480,9.999999747378752e-05,2.3904199600219727,0.949999988079071,258.0890808105469,5116.36376953125,0.05000000074505806,0.7759299278259277,1.888454794883728,1.5671446323394775,16.332555770874023,16.6002197265625,290.7704772949219
3341.368310432881,11.0,257.86263825092465,520,9.999999747378752e-05,2.206413745880127,0.949999988079071,230.0991973876953,4560.0615234375,0.05000000074505806,0.7595433592796326,1.7739393711090088,1.2978448867797852,10.257807731628418,11.52557373046875,171.45132446289062
