condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
before_finetune,0,0,-0.0013587746063118782,-8.692466810235612e-07,755.3370388044074,34.79364837910943
before_finetune,1,0,-0.0075670254773285706,-4.840824849943857e-06,766.2811820507808,32.33837837498626
before_finetune,2,0,0.05872760959846346,3.7570339856418955e-05,787.2050573963935,32.151225876142185
before_finetune,3,0,-0.003980656250253863,-2.546554275529325e-06,816.7689321857123,30.304273831005187
before_finetune,4,0,-0.03056540991034732,-1.955322336546109e-05,750.2552769924764,28.023844654986142
after_finetune,0,0,0.002114571145739319,1.352585081991329e-06,758.4428968369335,27.536210740746046
after_finetune,1,0,0.016685578051086242,1.0672893083030562e-05,762.244863992585,23.117399277647973
after_finetune,2,0,0.08323515116141304,5.3242223842686055e-05,787.4264247738237,32.15822834701247
after_finetune,3,0,-0.019184960384185008,-1.22717297680599e-05,770.7059818644753,24.650684829204383
after_finetune,4,0,0.002061914206781997,1.3188803599945359e-06,763.7255398895352,31.811021020416163
