condition,n_replicates,drift_ev_per_atom_mev_mean,drift_ev_per_atom_mev_std,drift_fraction_pct_mean,drift_fraction_pct_std,plateau_temperature_mean_mean,plateau_temperature_mean_std,plateau_temperature_std_mean,plateau_temperature_std_std
water_absolute,5,-0.07944937337924785,0.03811578366485327,-5.0818712891288814e-05,2.4374059496931982e-05,635.7906942185391,153.89351551832587,28.049133311237135,5.734602493600636
water_absolute+momentum,5,-0.012869641458716313,0.036382516317732844,-8.22955777530379e-06,2.326435390134663e-05,668.0541396900046,147.73234230679282,28.477051069900007,7.525767200975379
