condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,1,-0.038483498106719104,-2.4614978147699663e-05,593.0874668869592,27.259777261472802
water_absolute,0,2,-0.11144095566351098,-7.125621339267847e-05,412.8188366548817,20.8037548989306
water_absolute,0,3,-0.11495316518524608,-7.353500281240529e-05,662.4123259937761,28.624961177069313
water_absolute,0,4,-0.03882442297253874,-2.4845543112701104e-05,838.716622158894,36.79231028497174
water_absolute,0,5,-0.09354482496822432,-5.984182699095954e-05,671.9182193981843,26.76486293374122
water_absolute+momentum,0,1,0.0326107554921388,2.085087619146401e-05,637.1750959035654,27.90729066571237
water_absolute+momentum,0,2,-0.0028385239640253226,-1.8144312897029173e-06,463.65858341437513,16.796986802728583
water_absolute+momentum,0,3,-0.0406590376276957,-2.599948717079256e-05,666.413063389538,27.949363562387887
water_absolute+momentum,0,4,0.004647250970416887,2.972842535659031e-06,877.3445411369702,36.8519210537897
water_absolute+momentum,0,5,-0.05810865216441622,-3.7157589143146516e-05,695.6794146055744,32.879693264881496
