attr.best_model_path,attr.best_model_score,attr.epoch,attr.lr,attr.objective_metric_value,attr.post_test.test_neg_dy_l1_loss,attr.post_test.test_total_l1_loss,attr.post_test.test_y_l1_loss,attr.test.test_neg_dy_l1_loss,attr.test.test_total_l1_loss,attr.test.test_y_l1_loss,attr.train_loss_momentum,attr.train_loss_nve,attr.train_loss_pbc,attr.train_neg_dy_mse_loss,attr.train_nve_weight_effective,attr.train_total_mse_loss,attr.train_total_with_physics,attr.train_y_mse_loss,attr.val_neg_dy_l1_loss,attr.val_neg_dy_mse_loss,attr.val_total_l1_loss,attr.val_total_mse_loss,attr.val_y_l1_loss,attr.val_y_mse_loss,objective,param.baseline_cutoff_A,param.baseline_epsilon_eV,param.baseline_sigma_A,param.batch_size,param.embedding_dimension,param.energy_weight,param.force_weight,param.lr,param.momentum_weight,param.num_layers,param.num_rbf,param.nve_dt_fs,param.nve_freq,param.nve_loss_mode,param.nve_ramp_epochs,param.nve_relative,param.nve_relative_eps,param.nve_warmup_epochs,param.nve_weight,param.traj_length,param.weight_decay,status,trial
/home/lachmadh/projects/MDPinn/results/experiments/aspirin_optuna_physics/optuna/aspirin_optuna_physics_screen/trial_0000/checkpoints/trial_0000.ckpt,115.06214904785156,3.0,0.00029106359579600394,672.432861328125,9.048855781555176,8.50132942199707,5.975342750549316,9.048855781555176,8.50132942199707,5.975342750549316,1.1435281610516768e-09,0.8561801314353943,0.0,51.906211853027344,0.007336228620260954,435.5887145996094,5822.146484375,1878.1683349609375,5.248497009277344,52.29526901245117,15.689946174621582,672.432861328125,54.7514533996582,3005.661865234375,672.432861328125,5.159725093210579,0.0032877474139911193,1.2871346474483567,32,64,0.2097862337921012,0.8009613865627863,0.000291063591313307,0.009091248360355032,2,64,0.1,50,total_energy,5,False,6.245139574743075e-05,0,0.00917022549267169,30,2.4810409748678096e-06,complete,0
,,,,,,,,,,,,,,,,,,,,,,,,,39826456576.0,3.4424625102595976,0.010370844668954535,1.8828113525346752,16,128,0.24270031066349407,0.9360318776066675,1.7541893487450798e-05,0.046974947078209456,2,32,0.5,50,potential_only,3,False,6.235377135673148e-08,2,0.04474136752138244,40,9.565499215943814e-07,pruned,1
,,,,,,,,,,,,,,,,,,,,,,,,,36638806016.0,6.854835899772805,0.01961331382415545,1.3419157963542443,16,64,0.22293105821831838,0.8633315820388678,5.211124595788268e-05,0.005979712296915085,6,32,0.1,25,total_energy,1,False,2.0319809838424963e-08,0,0.035662239361149754,30,2.907208890659844e-08,pruned,2
/home/lachmadh/projects/MDPinn/results/experiments/aspirin_optuna_physics/optuna/aspirin_optuna_physics_screen/trial_0003/checkpoints/trial_0003.ckpt,107.65754699707031,3.0,0.00040489662205800414,8707.6806640625,7.1383795738220215,8.932361602783203,10.197402954101562,7.1383795738220215,8.932361602783203,10.197402954101562,6.353231829514527e-10,3.848836614001039e-12,0.0,101.67042541503906,0.025537367910146713,9880.51953125,9443.6630859375,47417.1015625,7.258067607879639,93.17214965820312,49.10415267944336,8707.6806640625,204.34539794921875,41772.03125,8707.6806640625,3.599326836668414,0.005118807219845014,0.8331617157060953,32,64,0.20632354382139834,0.9565753399815224,0.00040489662225846743,0.0003476065265595352,2,64,0.1,25,potential_only,1,True,1.0249816559563211e-06,0,0.02553736512887829,30,5.575453980775358e-08,complete,3
,,,,,,,,,,,,,,,,,,,,,,,,,10499.03125,6.387821809211412,0.0011729398526129197,1.3863394147823627,32,128,0.03166954481305799,0.9504725989414171,0.0009360540102485373,0.016039003248586793,2,32,0.1,50,total_energy,5,False,4.364516946807789e-06,1,0.009325925519992713,30,9.294394155644978e-08,pruned,4
,,,,,,,,,,,,,,,,,,,,,,,,,33889.22265625,3.0253079192310937,0.001487294964712418,1.4952526536620838,32,256,0.048790891382707306,0.965653005246499,0.0006321732490144021,0.0303214529829795,2,32,0.1,50,total_energy,3,False,2.9570809414943436e-07,2,0.0004598525808314824,40,3.4072643485301908e-06,pruned,5
,,,,,,,,,,,,,,,,,,,,,,,,,20282580992.0,5.140920741586571,0.0010623321569909535,1.8924778438815881,16,64,0.23571006024469943,0.978942858480621,0.0003887072196612053,0.04574321951102243,2,32,0.1,50,potential_only,1,True,9.124632886689909e-05,2,0.01850793501277222,20,1.024585893986732e-06,pruned,6
,,,,,,,,,,,,,,,,,,,,,,,,,28571668480.0,5.89140070498087,0.004346144590956212,0.6409729097613035,32,256,0.1784720505418488,0.9409902406646642,5.2357910022992983e-05,0.044500267090878315,2,32,0.5,25,potential_only,5,True,2.194774268919729e-08,1,0.01689975784257679,40,1.4940577239079729e-07,pruned,7
,,,,,,,,,,,,,,,,,,,,,,,,,17778696192.0,6.300986883588656,0.008572739537598708,1.5718938840500936,32,64,0.10814870665942476,0.791590636817003,0.0001077955162095017,0.007821852133554302,6,32,0.1,25,total_energy,3,True,6.52576510834236e-06,2,0.012512144908229767,30,1.9580595319750375e-07,pruned,8
,,,,,,,,,,,,,,,,,,,,,,,,,4438343680.0,4.940849631032609,0.03957518715404545,1.3632112668138183,32,64,0.026936499376103165,0.9041806267695157,6.266275266989062e-05,0.0013255655270810907,6,32,0.1,50,total_energy,1,False,1.8875676307822242e-07,0,0.029288779063673165,20,2.9067012153229084e-06,pruned,9
,,,,,,,,,,,,,,,,,,,,,,,,,15907366912.0,7.57818985389437,0.0029991931785436484,1.0341368350024904,16,128,0.1425269083204453,0.7532216573366051,0.0001948396577836357,0.022192426630569546,4,64,0.5,10,total_energy,5,False,5.664696610284723e-05,0,0.0006155584782468679,30,7.553503645583205e-05,pruned,10
,,,,,,,,,,,,,,,,,,,,,,,,,29376987136.0,4.16664676570288,0.0033936653915707725,0.9033665177155964,32,64,0.18087467253121878,0.8418208190294374,0.00024519289561700784,0.011578558554189903,4,64,0.1,10,potential_only,1,True,2.4577942404672287e-06,0,0.02562554176284859,30,3.07102364024815e-05,pruned,11
,,,,,,,,,,,,,,,,,,,,,,,,,28021882880.0,4.009384427278761,0.005413546235024562,0.6248262540381206,32,64,0.1806959083308988,0.8114972337900805,0.0003801293272819374,0.0018634704405050629,2,64,0.1,25,potential_only,5,True,1.7649020802966676e-05,0,0.03497631753957599,30,2.2731424658589183e-08,pruned,12
,,,,,,,,,,,,,,,,,,,,,,,,,33483667456.0,4.357081420435391,0.002196755912580636,1.0654939561495673,32,64,0.20535848933867956,0.8973404444534177,0.00014857182261913718,0.029476872494684916,2,64,0.1,25,potential_only,1,True,6.64682702132879e-07,0,0.02103094061818212,30,1.3115141093012422e-05,pruned,13
,,,,,,,,,,,,,,,,,,,,,,,,,74840824.0,4.850688868903374,0.013368997405354577,0.8361280667465933,32,256,0.13101698688040125,0.750726767267226,0.00038889294228088315,0.01721092028201742,2,64,0.5,10,total_energy,5,False,1.6428818250443763e-05,0,0.007884205976719882,30,5.132389094039314e-07,pruned,14
,,,,,,,,,,,,,,,,,,,,,,,,,33649987584.0,5.59323550251575,0.006183497068417502,1.111819207695127,32,64,0.20343457235109058,0.817398543361505,1.083220341739465e-05,0.011074236152478132,4,64,0.1,50,potential_only,1,True,1.1493474951238392e-06,0,0.02985170734104346,20,1.1375617597733063e-08,pruned,15
,,,,,,,,,,,,,,,,,,,,,,,,,5068447232.0,3.6203077073152476,0.002411422178270629,0.7852439694351901,32,64,0.09261511983270762,0.9015931983926004,0.0009973026847681435,0.036673582088710584,2,64,0.1,25,potential_only,5,False,2.476734043845572e-05,1,0.048959102061084725,30,3.548299217253917e-06,pruned,16
,,,,,,,,,,,,,,,,,,,,,,,,,24663676928.0,7.809752147751409,0.019172562531778813,1.6582896079057914,32,64,0.15403806627015815,0.7843060775396818,0.0002579310954682391,0.00020445281783286197,2,64,0.1,25,total_energy,1,True,1.3455417551449747e-07,0,0.03895164161417118,30,1.0795952437779314e-05,pruned,17
,,,,,,,,,,,,,,,,,,,,,,,,,216553.765625,4.552496282223612,0.0041285944804775945,0.5225579982101766,16,128,0.2092489214015431,0.863533186029171,0.0004869291273262366,0.01658441729871818,6,64,0.5,50,potential_only,5,True,1.087332248152387e-06,0,0.023190009832544316,40,6.29888581648449e-08,pruned,18
