condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,1,-0.006510416407460677,-4.163632256820189e-06,1107.1354672434065,46.09003346671539
water_absolute,0,2,0.01379701922132881,8.821240859102969e-06,691.0490409936434,25.719346032008325
water_absolute,0,3,-0.062498265606336645,-3.9974222070661583e-05,1177.7373748378297,48.9250299253112
water_absolute,0,4,-0.04876416716115273,-3.120088368049175e-05,1406.029503961331,67.33430586665945
water_absolute,0,5,-0.08373419852129398,-5.355647496548325e-05,1226.1377893411511,43.86020814877453
water_absolute+momentum,0,1,0.05417012702461458,3.464149604576714e-05,773.3193399071117,29.599531620248705
water_absolute+momentum,0,2,-0.010887639689372008,-6.960527264713696e-06,578.4869194100885,21.68183163609751
water_absolute+momentum,0,3,-0.10102635038341153,-6.461408438438487e-05,874.3037653609371,32.90614555172861
water_absolute+momentum,0,4,0.004952158368117428,3.1682581114093613e-06,1057.3044290972143,44.54871545881415
water_absolute+momentum,0,5,-0.057047946768307156,-3.648571224855048e-05,859.1330977616497,32.49861783548019
