condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,0,-0.09996838493483058,-6.395556821636166e-05,1746.5056608810473,72.31073861597713
water_absolute,1,0,0.022003457672781224,1.4076841756612223e-05,1599.1286163463944,60.352098550342426
water_absolute,2,0,-0.1748629362812911,-0.00011187181651537684,1624.1249439211972,75.9115280087093
water_absolute,3,0,-0.08472453818815968,-5.4203522416106735e-05,1637.281550718308,72.09806001206981
water_absolute,4,0,0.013735457040790303,8.787218046259924e-06,1804.4350393413472,91.63015715057675
water_absolute+momentum,0,0,-0.1399488886401438,-8.953486971125875e-05,1063.3935021056486,38.47766951597391
water_absolute+momentum,1,0,-0.08897633987695978,-5.6924067801781665e-05,1080.012835388028,42.43448824168721
water_absolute+momentum,2,0,-0.11861800762365722,-7.58893019178145e-05,1075.6347770124455,39.117267280557606
water_absolute+momentum,3,0,-0.062116175134481935,-3.9740196944210854e-05,1100.5333096293143,43.245800548915255
water_absolute+momentum,4,0,-0.05394477360217328,-3.451156198224901e-05,1041.646216283723,39.3446177767359
