condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,0,-0.02320094459188719,-1.4840037133458115e-05,808.1299357506375,29.25741110574761
water_absolute,1,0,0.051831439085011276,3.315287301902278e-05,818.0472734213105,30.984243661121845
water_absolute,2,0,-0.041745397140857676,-2.6702076792392977e-05,828.6515886744172,33.71803306015416
water_absolute,3,0,0.04177178804335805,2.6718678328649992e-05,842.8891537968768,28.86692627633048
water_absolute,4,0,-0.04476974218429556,-2.8635611475149004e-05,808.7487957047429,34.73028018236064
water_absolute+momentum,0,0,-0.01415395585506,-9.052294393006625e-06,910.6567648401374,40.14881368252596
water_absolute+momentum,1,0,-0.06407201160148664,-4.0977721143590275e-05,895.957251024136,34.129238083094414
water_absolute+momentum,2,0,-0.019632106708892632,-1.2556104371376542e-05,930.2361068263104,47.171386932759056
water_absolute+momentum,3,0,-0.011643419838947011,-7.446702487741987e-06,895.6005044445266,33.87804000051286
water_absolute+momentum,4,0,-0.06660679741798958,-4.25982616277996e-05,876.0240926100262,35.12784607507623
