condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,1,-0.09610631902508733,-6.145699170604899e-05,662.7772881627558,33.92131565684913
water_absolute,0,2,0.06761896778092098,4.322543226474747e-05,479.1542502404383,18.06690601206483
water_absolute,0,3,0.010772540027422414,6.889178185810516e-06,707.3242082675339,34.39763291858613
water_absolute,0,4,-0.06355925933121398,-4.066230542890949e-05,906.6192518019078,39.722524824097576
water_absolute,0,5,-0.024808848650081927,-1.5865867453675566e-05,728.0268022298361,34.0725035544397
water_absolute+momentum,0,1,0.007205756522428904,4.608300377170908e-06,697.5838617144449,31.9126246766629
water_absolute+momentum,0,2,0.06741683652459567,4.3103714908397927e-05,511.5165798298481,18.29039082500265
water_absolute+momentum,0,3,-0.02050481532478443,-1.3114323054814516e-05,738.5702666834751,28.21076788661703
water_absolute+momentum,0,4,-0.07966402150335246,-5.097057328520225e-05,960.8273439409471,45.94474876676279
water_absolute+momentum,0,5,0.01617453913619708,1.03445032331502e-05,766.415613964206,32.43653058131608
