axis,label,frame,absolute_traj_net_force,momentum_traj_net_force,gap_momentum_minus_absolute
velocity,vseed0,0,1.644223690032959,1.644223392009735,-2.980232238769531e-07
velocity,vseed0,20,0.9724234342575073,1.1406148672103882,0.16819143295288086
velocity,vseed0,80,1.2943233847618103,1.2729079723358154,-0.021415412425994873
velocity,vseed0,180,1.7153621315956116,2.0119391679763794,0.2965770363807678
velocity,vseed1,0,1.644223690032959,1.644223690032959,0.0
velocity,vseed1,20,1.2616514563560486,1.1278111934661865,-0.13384026288986206
velocity,vseed1,80,1.3820621967315674,1.476284146308899,0.09422194957733154
velocity,vseed1,180,1.893904983997345,1.91107839345932,0.017173409461975098
velocity,vseed2,0,1.6442233324050903,1.644223690032959,3.5762786865234375e-07
velocity,vseed2,20,1.2425931096076965,1.5008726716041565,0.25827956199645996
velocity,vseed2,80,1.3435349464416504,1.3612115979194641,0.01767665147781372
velocity,vseed2,180,1.377907156944275,2.253298044204712,0.875390887260437
velocity,vseed3,0,1.6442236304283142,1.6442235112190247,-1.1920928955078125e-07
velocity,vseed3,20,1.063846468925476,1.1675196290016174,0.10367316007614136
velocity,vseed3,80,1.4382270574569702,1.449217677116394,0.010990619659423828
velocity,vseed3,180,1.3378251194953918,1.516852855682373,0.1790277361869812
velocity,vseed4,0,1.6442232728004456,1.6442234516143799,1.7881393432617188e-07
velocity,vseed4,20,1.1788747906684875,1.0608060956001282,-0.11806869506835938
velocity,vseed4,80,1.4001957178115845,1.275721251964569,-0.12447446584701538
velocity,vseed4,180,1.398666501045227,2.0876855850219727,0.6890190839767456
config,cfg1,0,1.0193366408348083,1.0193367898464203,1.4901161193847656e-07
config,cfg1,20,0.8145048916339874,0.7603012025356293,-0.054203689098358154
config,cfg1,80,0.806593656539917,0.8875352144241333,0.08094155788421631
config,cfg1,180,0.9614571630954742,1.3693715929985046,0.4079144299030304
config,cfg2,0,0.8118414878845215,0.8118417263031006,2.384185791015625e-07
config,cfg2,20,0.6847831308841705,0.6926166415214539,0.007833510637283325
config,cfg2,80,0.805474579334259,0.8249384462833405,0.01946386694908142
config,cfg2,180,0.855512410402298,0.9861487746238708,0.13063636422157288
config,cfg3,0,1.3062158823013306,1.3062158823013306,0.0
config,cfg3,20,0.7122658491134644,0.6147695183753967,-0.09749633073806763
config,cfg3,80,0.9046075344085693,1.1419627666473389,0.23735523223876953
config,cfg3,180,0.959215521812439,1.184908151626587,0.22569262981414795
config,cfg4,0,1.1646478772163391,1.1646478176116943,-5.960464477539063e-08
config,cfg4,20,0.8760879635810852,1.1528168320655823,0.27672886848449707
config,cfg4,80,0.9770850837230682,1.4436944127082825,0.46660932898521423
config,cfg4,180,1.1881394386291504,1.4555649757385254,0.267425537109375
config,cfg5,0,1.3099294900894165,1.3099294900894165,0.0
config,cfg5,20,0.6502147912979126,0.7415606677532196,0.091345876455307
config,cfg5,80,1.0011631846427917,1.0659959316253662,0.06483274698257446
config,cfg5,180,1.0938934683799744,1.5118370056152344,0.41794353723526
