frame,n_replicates,gap_mean,gap_std,n_positive
0,10,4.470348358154297e-08,1.9018043795304147e-07,4
20,10,0.050244343280792234,0.15267291868517568,6
80,10,0.08462020754814148,0.1629086949286772,8
180,10,0.3506800651550293,0.26080764316171723,10
