cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_loss_momentum_per_molecule,train_loss_momentum_per_molecule_weighted,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_total_with_momentum,train_y_mse_loss,train_y_weight,val_checkpoint_score,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
1063.7066063862294,0.0,1063.7066063862294,80,9.999999747378752e-05,459.6853332519531,4.596856594085693,65.14374542236328,0.949999988079071,40580004.0,40580008.0,811598848.0,0.05000000074505806,32541412.0,7.313642978668213,78.58894348144531,1282.5120849609375,32541414.0,25511.28125,650826752.0
1586.805668162182,1.0,523.0990617759526,120,9.999999747378752e-05,558.1803588867188,5.5818023681640625,74.24247741699219,0.949999988079071,22742382.0,22742388.0,454846176.0,0.05000000074505806,12344211.0,7.147205829620361,79.98908996582031,792.4122924804688,12344212.0,15712.44921875,246882704.0
2107.8589619789273,2.0,521.0532938167453,160,9.999999747378752e-05,692.95556640625,6.9295525550842285,92.45849609375,0.949999988079071,5102801.0,5102806.0,102054264.0,0.05000000074505806,148635.03125,7.455105304718018,87.9446792602539,93.24976348876953,148635.015625,1723.3482666015625,2971029.75
2641.608376521617,3.0,533.7494145426899,200,9.999999747378752e-05,890.8309326171875,8.908320426940918,139.3460235595703,0.949999988079071,12571.7314453125,12580.650390625,248787.046875,0.05000000074505806,8624.5634765625,6.242604732513428,64.1971435546875,26.568681716918945,8624.5625,412.76409912109375,171271.515625
3169.354160442017,4.0,527.7457839203998,240,9.999999747378752e-05,341.20355224609375,3.4120335578918457,44.263511657714844,0.949999988079071,641.2727661132812,644.684326171875,11984.447265625,0.05000000074505806,387.3033752441406,3.320539712905884,25.986217498779297,7.347805023193359,387.3033752441406,83.8658447265625,7252.3291015625
3683.3341715065762,5.0,513.9800110645592,280,9.999999747378752e-05,238.22113037109375,2.3822104930877686,22.910429000854492,0.949999988079071,394.50091552734375,396.8828125,7454.720703125,0.05000000074505806,24.744062423706055,2.728367805480957,17.94468879699707,3.0787901878356934,24.744060516357422,9.73681926727295,153.93214416503906
4212.504108472727,6.0,529.169936966151,320,9.999999747378752e-05,205.5526580810547,2.0555264949798584,18.8973331451416,0.949999988079071,774.0379638671875,776.0933227539062,15121.7080078125,0.05000000074505806,53.564002990722656,2.472074031829834,15.784140586853027,3.643585205078125,53.563995361328125,25.902294158935547,771.38134765625
4736.93207971286,7.0,524.427971240133,360,9.999999747378752e-05,198.4423370361328,1.984423041343689,17.119665145874023,0.949999988079071,222.80308532714844,224.7873992919922,4130.78759765625,0.05000000074505806,156.07994079589844,2.359583854675293,14.388313293457031,4.867752552032471,156.0799560546875,52.52295684814453,2848.220703125
5261.5667797308415,8.0,524.6347000179812,400,9.999999747378752e-05,191.41441345214844,1.914144515991211,18.582521438598633,0.949999988079071,243.46885681152344,245.38290405273438,4516.3095703125,0.05000000074505806,126.2408218383789,4.136317729949951,28.947998046875,5.959857940673828,126.24082946777344,40.607112884521484,1974.8045654296875
5780.133017892949,9.0,518.5662381621078,440,9.999999747378752e-05,167.5480499267578,1.6754781007766724,16.62516975402832,0.949999988079071,213.61624145507812,215.2917938232422,3956.44677734375,0.05000000074505806,30.7406005859375,2.1473560333251953,9.603272438049316,3.008237361907959,30.740602493286133,19.364974975585938,432.3498229980469
