condition,seed,energy_mae,force_mae,mean_per_molecule_momentum_violation,max_per_molecule_momentum_violation,final_epoch,total_wall_seconds
water_absolute,0,3.55694580078125,0.7382977284491062,60.12476087342948,2355.542236328125,68.0,18106.37480890844
water_absolute,1,2.4512939453125,0.7981288803741335,62.65341495112516,2085.967529296875,64.0,17032.943910977803
water_absolute,2,5.84246826171875,0.6806827278807759,46.10135735496878,1342.5196533203125,68.0,17962.7484666761
water_absolute,3,2.3148193359375,0.6641763491556049,40.83751095738262,1091.5435791015625,68.0,17988.455497985706
water_absolute,4,6.505908203125,0.9319681147113442,79.10714805880562,900.2353515625,68.0,17883.30755906552
water_absolute,5,2.42208251953125,0.781565486267209,48.783767809905115,370.3065185546875,68.0,17947.187909232453
water_absolute+momentum,0,2.53480224609375,0.7046283144503832,61.660160875692966,2545.77001953125,68.0,37139.75795173831
water_absolute+momentum,1,2.21395263671875,0.6739186314865947,48.237918013660234,1126.7789306640625,68.0,36829.64307969436
water_absolute+momentum,2,6.35950927734375,0.7539090793579817,46.17403371343389,1102.0181884765625,68.0,36585.31980782002
water_absolute+momentum,3,2.07259521484375,0.5928644644096493,33.37639482337981,296.0899658203125,68.0,36202.570630367845
water_absolute+momentum,4,2.7373291015625,0.8298843029886485,64.02596470620483,755.0317993164062,68.0,36058.56455894187
water_absolute+momentum,5,3.027197265625,0.8247977137565613,45.26422207802534,418.2944641113281,68.0,36376.45256328024
