condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
before_finetune,0,0,-0.018073007083785342,-1.156181558789732e-05,752.1429420373264,29.653547244344068
before_finetune,1,0,-0.03978689799547889,-2.5452729772209794e-05,752.1591586970196,30.547100599994586
before_finetune,2,0,0.41248375176413293,0.0002638818746316179,785.342945441772,28.470851523103516
before_finetune,3,0,-0.0007065045413886158,-4.5197372753701853e-07,797.6641411146938,26.26079169186965
before_finetune,4,0,0.033598918548705115,2.1493814303573067e-05,773.3299997159763,28.039464453471243
after_finetune,0,0,-0.021704767808235676,-1.3885584320228538e-05,767.3909548858056,29.82275588704409
after_finetune,1,0,0.009772298805425331,6.2517905627071025e-06,758.2749071570735,26.365107319466713
after_finetune,2,0,0.004850077402807074,3.1028791848561287e-06,792.6214557734437,31.75553506011784
after_finetune,3,0,-0.06871800489231343,-4.396247877001823e-05,779.4638588203563,29.077656726361997
after_finetune,4,0,-0.0523915959054951,-3.351685168534561e-05,743.2622757562792,31.127536922474857
