cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_loss_momentum_per_molecule,train_loss_momentum_per_molecule_weighted,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_total_with_momentum,train_y_mse_loss,train_y_weight,val_checkpoint_score,val_checkpoint_score_raw,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
1031.185268867761,0.0,1031.185268867761,80,9.999999747378752e-05,20.500226974487305,0.20500241219997406,4.373871803283691,0.949999988079071,39751528.0,39751520.0,795030464.0,0.05000000074505806,inf,31152114.0,1.3197243213653564,4.175078392028809,1249.2940673828125,31152114.0,24960.8046875,623042176.0
1546.082010762766,1.0,514.8967418950051,120,9.999999747378752e-05,90.7959213256836,0.9079596400260925,9.182021141052246,0.949999988079071,20388226.0,20388228.0,407764320.0,0.05000000074505806,inf,9436628.0,3.4660298824310303,22.364831924438477,690.1897583007812,9436627.0,13737.943359375,188732128.0
2060.4829426705837,2.0,514.4009319078177,160,9.999999747378752e-05,322.64935302734375,3.2264955043792725,33.343955993652344,0.949999988079071,3094178.75,3094181.25,61882948.0,0.05000000074505806,inf,15488.58984375,6.305525302886963,72.59568786621094,33.31087112426758,15488.5908203125,546.4124755859375,308392.46875
2577.4687626119703,3.0,516.9858199413866,200,9.999999747378752e-05,329.9932556152344,3.299933910369873,35.28990173339844,0.949999988079071,3440.15087890625,3443.4521484375,68132.5078125,0.05000000074505806,inf,31.56252670288086,2.512976884841919,14.26730728149414,3.223461389541626,31.562530517578125,16.722667694091797,360.17169189453125
3088.6080281417817,4.0,511.1392655298114,240,9.999999747378752e-05,93.23049926757812,0.9323058128356934,8.993365287780762,0.949999988079071,114.43133544921875,115.36360931396484,2117.752685546875,0.05000000074505806,inf,16.490291595458984,1.532799482345581,6.012021064758301,2.101656913757324,16.490291595458984,12.909947395324707,215.57742309570312
3599.6037630587816,5.0,510.99573491699994,280,9.999999747378752e-05,77.06761932373047,0.7706773281097412,5.892064094543457,0.949999988079071,432.45587158203125,433.2265625,8537.1669921875,0.05000000074505806,inf,1009.2025146484375,1.3113764524459839,5.007997989654541,8.326942443847656,1009.2025756835938,141.6226806640625,20088.8984375
4110.595127668232,6.0,510.9913646094501,320,9.999999747378752e-05,77.62754821777344,0.7762752771377563,5.296487808227539,0.949999988079071,697.8302612304688,698.6063842773438,13855.9716796875,0.05000000074505806,inf,187.6688995361328,1.2397352457046509,4.641135215759277,4.191747188568115,187.66891479492188,60.279972076416016,3665.196533203125
4624.427464917302,7.0,513.8323372490704,360,9.999999747378752e-05,74.54640197753906,0.7454647421836853,4.686939716339111,0.949999988079071,501.60784912109375,502.35345458984375,9943.10546875,0.05000000074505806,inf,635.0807495117188,1.1501773595809937,4.123968601226807,6.703577518463135,635.0807495117188,112.21817779541016,12623.2587890625
5138.84949936904,8.0,514.422034451738,400,9.999999747378752e-05,65.1780776977539,0.6517807841300964,4.054210662841797,0.949999988079071,274.1323547363281,274.7842712402344,5405.6171875,0.05000000074505806,inf,36.31023025512695,1.1062456369400024,3.4763405323028564,2.2828526496887207,36.31023406982422,24.63838768005371,660.1541137695312
5653.063820419833,9.0,514.2143210507929,440,9.999999747378752e-05,70.08745574951172,0.7008745670318604,3.4423913955688477,0.949999988079071,292.8243713378906,293.5252380371094,5791.08251953125,0.05000000074505806,inf,59.21107864379883,0.9689338207244873,2.991443157196045,2.586214542388916,59.211082458496094,33.31454849243164,1127.3841552734375
6165.674899965525,10.0,512.6110795456916,480,9.999999747378752e-05,62.710323333740234,0.627103865146637,2.9548568725585938,0.949999988079071,256.7731018066406,257.4001770019531,5079.31982421875,0.05000000074505806,inf,15.242128372192383,0.8937109708786011,2.692697763442993,1.6031811237335205,15.242130279541016,15.083111763000488,253.6813201904297
6676.730209326372,11.0,511.0553093608469,520,9.999999747378752e-05,59.33723068237305,0.5933720469474792,2.815760612487793,0.949999988079071,239.1444854736328,239.73756408691406,4729.39013671875,0.05000000074505806,inf,3.3632521629333496,0.8756953477859497,2.6167306900024414,0.9782979488372803,3.3632519245147705,2.927746534347534,17.54715919494629
