condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,0,42.04384314058037,0.026899946563777987,1117.5345555257377,39.296517737757
water_absolute,1,0,-0.31360152261565116,-0.00020064381788170181,956.707997929907,46.07442804933802
water_absolute,2,0,-0.8079180746373519,-0.000516920214235835,929.0754698544881,37.61399257958184
water_absolute,3,0,-2.2034045923646772,-0.0014097622415029404,908.2504877574494,36.910042800415134
water_absolute,4,0,-0.4953083147446099,-0.00031689630386503355,926.8712193347161,35.59946791451392
water_absolute+momentum,0,0,-0.6004292451772623,-0.0003841065805410841,1054.9139239458873,51.846143973399855
water_absolute+momentum,1,0,-0.16469786802038774,-0.00010536017172954846,1054.064415235259,46.19867536350123
water_absolute+momentum,2,0,0.4503664785223312,0.00028811317615536655,1040.932483946113,38.45264457847741
water_absolute+momentum,3,0,14.672174592533338,0.00938613901109361,1013.1053662493426,40.01223648895983
water_absolute+momentum,4,0,5.862150110355439,0.003750069658750755,1017.0658569432198,48.666720276923854
