cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_loss_momentum,train_loss_momentum_raw,train_loss_momentum_weighted,train_loss_pbc,train_loss_pbc_raw,train_loss_pbc_weighted,train_momentum_to_supervised_ratio,train_neg_dy_mse_loss,train_physics_to_supervised_ratio,train_short_rollout_failure_rate,train_short_rollout_max_abs_drift_eV,train_short_rollout_mean_abs_drift_eV,train_short_rollout_success_count,train_total_mse_loss,train_total_with_physics,train_y_mse_loss,val_energy_mae,val_energy_rmse,val_force_mae,val_force_rmse,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_rollout_fail_energy_numerical_blowup_count,val_rollout_fail_exception_count,val_rollout_fail_force_or_energy_numerical_blowup_count,val_rollout_fail_initial_force_or_energy_numerical_blowup_count,val_rollout_fail_no_valid_start_count,val_rollout_fail_position_numerical_blowup_count,val_rollout_failure_rate,val_rollout_median_abs_final_drift_eV,val_rollout_median_max_abs_drift_eV,val_rollout_median_mean_abs_drift_eV,val_rollout_score,val_rollout_success_count,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
7696.587407429703,0.0,7696.587407429703,10590,9.999999747378752e-05,1.0855564225309422e-09,1.0855564225309422e-09,1.0855556904776353e-11,0.0,0.0,0.0,2.6713318514691442e-14,623.9159545898438,2.6713318514691442e-14,0.0,16.84375,12.71875,3.0,1162532352.0,1162742144.0,23250636800.0,170.490234375,170.5121612548828,4.560706615447998,6.3034186363220215,4.545506954193115,39.69355392456055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172429.625,172429.625,30826.51953125,117041.3359375,6.0,12.852603912353516,1494.7537841796875,170.6874542236328,29140.900390625
11581.040027072653,1.0,3884.4526196429506,15885,9.999999747378752e-05,9.883068807781115e-10,9.883068807781115e-10,9.883070056782017e-12,0.0,0.0,0.0,3.2450455625561425e-14,213.1571807861328,3.2450455625561425e-14,0.0,30772.03125,6191.953125,3.0,3504.304931640625,3504.43310546875,66036.109375,33.237548828125,33.497859954833984,12.418656349182129,16.797319412231445,12.398493766784668,281.34381103515625,0.0,0.0,0.0,0.0,0.0,1.0,0.1666666716337204,206399.765625,206399.765625,89465.7890625,192674.0,5.0,13.446426391601562,323.8768005371094,33.35716247558594,1132.003173828125
15466.520274006762,2.0,3885.4802469341084,21180,9.999999747378752e-05,8.912414695139148e-10,8.912414695139148e-10,8.912419413587003e-12,0.0,0.0,0.0,3.774932433699488e-14,188.79815673828125,3.774932433699488e-14,0.0,12.25,6.525000095367432,3.0,2727.28466796875,2727.763916015625,50958.5234375,135.245361328125,135.2556915283203,2.6829168796539307,3.865187644958496,2.5852460861206055,14.01315689086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6875,35.671875,18.08562469482422,35.92156219482422,6.0,9.203705787658691,924.0679931640625,134.95445251464844,18215.109375
19354.55488259578,3.0,3888.0346085890196,26475,9.999999747378752e-05,7.926500011912196e-10,7.926500011912196e-10,7.92649539754775e-12,0.0,0.0,0.0,3.7834071677433564e-14,139.30824279785156,3.7834071677433564e-14,0.0,13.28125,8.587499618530273,3.0,2018.0491943359375,2018.0838623046875,37714.125,116.250732421875,116.26848602294922,3.7030162811279297,5.281302452087402,3.5959722995758057,26.438329696655273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.21875,24.25,11.64437484741211,23.76937484741211,6.0,9.21546745300293,697.9228515625,115.9858627319336,13456.1298828125
23230.532075189985,4.0,3875.977192594204,31770,9.999999747378752e-05,8.159623532399962e-10,8.159623532399962e-10,8.159615344505156e-12,0.0,0.0,0.0,4.4469175520742144e-14,110.66626739501953,4.4469175520742144e-14,0.0,17.6875,12.371874809265137,3.0,2196.3896484375,2195.74462890625,41825.1328125,332.458984375,332.46197509765625,2.6821627616882324,3.866173267364502,2.645250082015991,14.57130241394043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80630.15625,80630.15625,7741.30322265625,48056.3828125,6.0,19.12729835510254,5534.64208984375,332.28619384765625,110415.9765625
27105.4698441457,5.0,3874.937768955715,37065,9.999999747378752e-05,7.167248461392717e-10,7.167248461392717e-10,7.1672394581778764e-12,0.0,0.0,0.0,7.023539600392245e-14,63.892555236816406,7.023539600392245e-14,0.0,14.25,7.706250190734863,3.0,1644.191162109375,1644.47119140625,31669.865234375,212.798583984375,212.80369567871094,3.6509084701538086,5.3315887451171875,3.581458806991577,27.322372436523438,0.0,0.0,0.0,0.0,0.0,1.0,0.1666666716337204,34971.59375,34971.59375,13277.96875,30772.099609375,5.0,14.045623779296875,2291.64306640625,212.86476135253906,45313.734375
30985.26403172873,6.0,3879.7941875830293,42360,9.999999747378752e-05,5.581327622294907e-10,5.581327622294907e-10,5.581323164055574e-12,0.0,0.0,0.0,6.708332890917323e-14,36.52764129638672,6.708332890917323e-14,0.0,15.15625,12.024999618530273,3.0,1433.8316650390625,1432.991943359375,27982.60546875,336.330078125,336.333251953125,2.526610851287842,3.7193076610565186,2.4476189613342285,12.843196868896484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3125,35.515625,17.943124771118164,35.7009391784668,6.0,19.150924682617188,5674.36572265625,336.51373291015625,113243.2890625
34863.415142301936,7.0,3878.151110573206,47655,9.999999747378752e-05,5.817119563822359e-10,5.817119563822359e-10,5.8171067789103414e-12,0.0,0.0,0.0,5.63058409305036e-14,45.387657165527344,5.63058409305036e-14,0.0,13.03125,9.315625190734863,3.0,1373.5206298828125,1373.7657470703125,26608.046875,57.251220703125,57.264713287353516,2.097135066986084,2.9877851009368896,2.058736801147461,8.679884910583496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.734375,26.03125,14.802499771118164,27.818124771118164,6.0,4.810873508453369,171.34683227539062,57.10146713256836,3262.0185546875
38728.68395310966,8.0,3865.2688108077273,52950,9.999999747378752e-05,4.981031698214622e-10,4.981031698214622e-10,4.9810368503433455e-12,0.0,0.0,0.0,7.126555069810955e-14,34.52962112426758,7.126555069810955e-14,0.0,15.25,10.512499809265137,3.0,1491.7633056640625,1491.639404296875,29179.203125,144.56689453125,144.57093811035156,2.5267114639282227,3.824749708175659,2.522555112838745,14.576800346374512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116285.34375,116285.34375,20565.4296875,78708.1015625,6.0,9.622491836547852,1058.227294921875,144.5213165283203,20887.5859375
42605.15661827987,9.0,3876.4726651702076,58245,9.999999747378752e-05,4.4625728112812624e-10,4.4625728112812624e-10,4.462583514525109e-12,0.0,0.0,0.0,7.750375184299371e-14,12.229382514953613,7.750375184299371e-14,0.0,13.5,10.118749618530273,3.0,925.1713256835938,925.2743530273438,18271.06640625,130.50439453125,130.51690673828125,2.5400736331939697,3.779703140258789,2.506537437438965,14.061939239501953,0.0,0.0,0.0,0.0,0.0,1.0,0.1666666716337204,121.8125,121.8125,42.338748931884766,111.57833099365234,5.0,8.895097732543945,862.1188354492188,130.2777557373047,16975.203125
