cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_loss_momentum_per_molecule,train_loss_momentum_per_molecule_weighted,train_neg_dy_mse_loss,train_total_mse_loss,train_total_with_momentum,train_y_mse_loss,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
1044.6009349925444,0.0,1044.6009349925444,80,9.999999747378752e-05,6.373315334320068,0.06373316794633865,4.104571342468262,39741116.0,39741096.0,794822144.0,1.2835205793380737,3.8654754161834717,1249.07568359375,31142930.0,24957.12890625,622858560.0
1569.4708486581221,1.0,524.8699136655778,120,9.999999747378752e-05,74.14067077636719,0.7414074540138245,8.74487018585205,20380878.0,20380886.0,407617376.0,3.4288721084594727,21.802324295043945,689.9700927734375,9431553.0,13734.2509765625,188630640.0
2088.190730321221,2.0,518.7198816630989,160,9.999999747378752e-05,309.3406677246094,3.0934019088745117,32.72414779663086,3091779.5,3091781.5,61834968.0,6.2927775382995605,72.59750366210938,33.62944030761719,15860.0830078125,553.0260009765625,315822.28125
2609.613007602282,3.0,521.4222772810608,200,9.999999747378752e-05,317.5565490722656,3.175560712814331,34.340126037597656,3308.811767578125,3311.98583984375,65523.76953125,2.133258104324341,11.362021446228027,5.916489124298096,317.59954833984375,77.79788208007812,6136.1123046875
3135.3100630175322,4.0,525.6970554152504,240,9.999999747378752e-05,56.826560974121094,0.5682643055915833,10.821752548217773,132.63868713378906,133.2069854736328,2447.16015625,1.775847315788269,6.9841628074646,3.3094029426574707,64.28034210205078,32.446956634521484,1152.9075927734375
3652.8180557228625,5.0,517.5079927053303,280,9.999999747378752e-05,61.4544677734375,0.6145448088645935,5.694272041320801,204.766357421875,205.3809051513672,3987.135986328125,1.3517436981201172,4.901534080505371,8.88926887512207,1164.9691162109375,152.10226440429688,23206.251953125
4177.667127229273,6.0,524.8490715064108,320,9.999999747378752e-05,55.78639602661133,0.5578640699386597,3.939774513244629,320.8760986328125,321.4337158203125,6342.666015625,1.0060439109802246,3.1800408363342285,9.296492576599121,1395.4813232421875,166.8150177001953,27849.203125
4702.3444584598765,7.0,524.6773312306032,360,9.999999747378752e-05,46.289306640625,0.4628933072090149,3.224440097808838,383.6039123535156,384.0671081542969,7610.8134765625,0.9622589349746704,2.9684531688690186,3.50223708152771,138.0239715576172,51.76181411743164,2704.078857421875
5223.107704946771,8.0,520.7632464868948,400,9.999999747378752e-05,47.47551345825195,0.47475507855415344,3.111372947692871,332.46722412109375,332.94219970703125,6590.228515625,0.9308047294616699,2.889819383621216,3.458333969116211,136.16941833496094,51.481388092041016,2668.48193359375
5736.638811035082,9.0,513.5311060883105,440,9.999999747378752e-05,45.978485107421875,0.45978423953056335,2.986652374267578,479.52276611328125,479.9825744628906,9533.708984375,0.8956181406974792,2.6636128425598145,11.964276313781738,2473.35498046875,222.26876831054688,49416.48828125
6257.416633745655,10.0,520.7778227105737,480,9.999999747378752e-05,45.7183837890625,0.45718327164649963,2.86112904548645,332.60498046875,333.0622253417969,6597.73876953125,0.8785914182662964,2.6275675296783447,4.1162614822387695,218.43409729003906,65.63198852539062,4318.7578125
6780.559529523365,11.0,523.1428957777098,520,9.999999747378752e-05,44.6917610168457,0.44691771268844604,2.5782663822174072,152.7459259033203,153.19277954101562,3005.931884765625,0.8223751783370972,2.345402240753174,1.1531774997711182,5.483006477355957,7.438421249389648,65.09748840332031
7299.377798194066,12.0,518.8182686707005,560,9.999999747378752e-05,42.93622589111328,0.42936238646507263,2.404263734817505,119.05258178710938,119.48200988769531,2335.37060546875,0.8081071972846985,2.2842440605163574,4.610237121582031,298.0484924316406,76.85070037841797,5917.56884765625
7816.828827727586,13.0,517.4510295335203,600,9.999999747378752e-05,43.321407318115234,0.43321412801742554,2.28572940826416,131.23207092285156,131.66534423828125,2581.212646484375,0.7758383750915527,2.079648017883301,3.525569438934326,158.04998779296875,55.77046203613281,3121.486328125
8338.437660106458,14.0,521.6088323788717,640,9.999999747378752e-05,41.75296401977539,0.4175299108028412,2.060023307800293,448.61187744140625,449.0296936035156,8933.0966796875,0.7471407651901245,1.9285980463027954,0.9955795407295227,4.595211029052734,5.715912342071533,55.26084518432617
8858.202006537467,15.0,519.7643464310095,680,9.999999747378752e-05,46.20186996459961,0.46201878786087036,1.983211874961853,225.87583923339844,226.33773803710938,4479.8359375,0.71036297082901,1.7607866525650024,0.9757611155509949,4.0525221824646,6.018327236175537,47.59550476074219
9376.520673502237,16.0,518.3186669647694,720,9.999999747378752e-05,39.61875915527344,0.3961879312992096,1.680537462234497,123.96492767333984,124.36111450195312,2447.3681640625,0.6873748302459717,1.6303902864456177,3.784461259841919,198.58700561523438,62.62910079956055,3940.762451171875
9898.055784485303,17.0,521.5351109830663,760,9.999999747378752e-05,40.58872604370117,0.4058871865272522,1.59946870803833,138.46432495117188,138.87008666992188,2738.896484375,0.6692825555801392,1.537176251411438,3.435781955718994,161.0399932861328,55.99927520751953,3191.593017578125
10422.445056184195,18.0,524.3892716988921,800,9.999999747378752e-05,40.2032356262207,0.4020322859287262,1.5033881664276123,135.6010284423828,136.00318908691406,2683.4560546875,0.641871988773346,1.4378107786178589,3.5226449966430664,174.9953155517578,58.25733184814453,3472.587890625
