condition,seed,energy_mae,force_mae,mean_per_molecule_momentum_violation,max_per_molecule_momentum_violation,final_epoch,total_wall_seconds
water_absolute,0,16404.429553222657,6.867824175953865,483.4495416760445,5634.4404296875,48.0,12878.626293573529
water_absolute,1,3.42342529296875,0.9677689455449581,93.98826762214303,4102.8857421875,48.0,12872.074221077375
water_absolute,2,3.16981201171875,0.9353223064914346,56.07976168822497,1047.840087890625,48.0,12891.703902807087
water_absolute,3,3.19005126953125,0.8674290666356683,51.067516615241765,1272.5560302734375,48.0,12869.913104933687
water_absolute,4,4.58543701171875,0.6818656217306852,55.3903254462406,878.7073974609375,48.0,12850.421441111714
water_absolute,5,3.05347900390625,0.8804760448634624,52.42817165069282,603.879638671875,48.0,12877.505871264264
water_absolute+momentum,0,2.432470703125,0.674299799464643,43.59725400991738,1679.4039306640625,48.0,26368.40235758666
water_absolute+momentum,1,4.460302734375,0.736305464990437,60.0329840766266,2033.6082763671875,48.0,26305.389235387556
water_absolute+momentum,2,3.26363525390625,0.9107966843992472,56.923977952450514,1081.3111572265625,48.0,26303.7728868993
water_absolute+momentum,3,5.32811279296875,0.7682993179187179,44.79319588206708,1572.53662109375,48.0,26350.447179297917
water_absolute+momentum,4,4.18892822265625,0.8033537058159709,50.08193006683141,1069.435302734375,48.0,26319.814304454252
water_absolute+momentum,5,3.09517822265625,1.0257297545671462,53.08903982788324,535.4674072265625,48.0,26359.20527823828
