step,time_fs,temperature_k,min_dist_O-O,n_below_floor_O-O,min_dist_O-H,n_below_floor_O-H,min_dist_H-H,n_below_floor_H-H
0,0.0,311.0853550816985,2.6029534726513144,0,1.0623895514770993,0,1.3689245149207059,0
10,5.0,634.1085173759897,2.5998300200307427,0,0.8124500206535447,1,1.013579484932438,0
20,10.0,911.0147945433728,2.598864716192098,0,0.605672261753815,2,1.4030968169094171,0
30,15.0,944.8991951669713,2.5776634285168956,0,0.3918734050114094,3,0.719215900575877,4
40,20.0,1052.0871397590915,2.5680979130897237,0,0.4731659715989759,2,0.7293458506323733,2
50,25.0,991.6865838184116,2.5230375984849287,0,0.4582918378950351,1,0.37955579266112704,4
60,30.0,1046.9237576716002,2.4512076094190602,0,0.5919616257586753,3,0.6137196801907984,2
70,35.0,956.7404068891244,2.400241661747471,0,0.5475172650777581,2,0.6868852149620123,2
80,40.0,1147.4447824190079,2.3603254151888606,0,0.49268422911861975,2,0.9706652656909254,0
90,45.0,1173.6410341474386,2.3289215376389625,0,0.6764898544939687,2,0.8291004201077095,2
100,50.0,1209.012699045655,2.2909711247209676,0,0.9339311594114861,2,0.9320896535533384,0
110,55.0,1243.9120086897901,2.282208700250704,0,0.6272181637983107,1,0.9850208165867341,0
120,60.0,1221.7371879088623,2.2167122550428124,0,0.10494950307343678,1,0.8264514858308599,2
130,65.0,1203.3745337698174,2.1555688464084777,0,0.6800709626581112,3,0.7975248472176689,4
140,70.0,1227.051350817444,2.114006133805087,0,1.1172915336759592,0,1.2015820471859058,0
150,75.0,1362.3572195085442,2.026418199484955,0,0.7675164452052574,2,0.8386473074896853,4
160,80.0,1214.0519851164204,1.9290923194855187,0,0.8322441951297658,1,0.9747413361693051,0
170,85.0,1272.2047846993826,1.8367299074826686,0,0.7582397967607932,3,0.892218120385654,2
180,90.0,1326.0050049656288,1.7394500222837364,2,0.8981954956336796,2,0.8881747188256462,2
190,95.0,1502.9664314913414,1.6532662847061985,2,0.9385461004633986,1,0.6018788519296002,6
