epoch,lr,train_neg_dy_mse_loss,train_total_mse_loss,train_y_mse_loss,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
0.0,9.999999747378752e-05,302.4316101074219,635982912.0,12719651840.0,6.719719886779785,82.65850067138672,6.554152011871338,79.4787368774414,3.4083778858184814,19.063369750976562
1.0,9.999999747378752e-05,34.9958381652832,34.295448303222656,20.988122940063477,2.7868213653564453,15.466736793518066,2.8402018547058105,15.5651273727417,3.854431390762329,17.4345645904541
2.0,9.999999747378752e-05,183.39317321777344,7593.16943359375,148378.921875,9.934829711914062,177.49388122558594,9.940025329589844,175.8413543701172,10.038741111755371,144.44337463378906
3.0,9.999999747378752e-05,65.8427505493164,176.00375366210938,2269.0625,3.585589647293091,24.87932586669922,3.748521089553833,26.310930252075195,6.844224452972412,53.51142501831055
4.0,9.999999747378752e-05,16.20491600036621,237.59408569335938,4443.98828125,2.304415225982666,10.238608360290527,2.252098321914673,9.85352897644043,1.2580785751342773,2.5370030403137207
5.0,9.999999747378752e-05,22.34197998046875,853.4776611328125,16645.056640625,2.405871868133545,11.238829612731934,2.4048101902008057,11.04759693145752,2.3846333026885986,7.414178848266602
6.0,9.999999747378752e-05,7.382210731506348,72.72733306884766,1314.2845458984375,1.6443922519683838,5.321152210235596,1.8757960796356201,7.072592258453369,6.272468090057373,40.34995651245117
7.0,9.999999747378752e-05,12.724282264709473,506.3367614746094,9884.9736328125,2.1907451152801514,9.363201141357422,2.1485745906829834,9.036840438842773,1.347334623336792,2.835989236831665
8.0,9.999999747378752e-05,5.28534460067749,46.69497299194336,833.47802734375,1.3941630125045776,3.7455685138702393,1.7838494777679443,7.829405307769775,9.187889099121094,85.42230224609375
9.0,9.999999747378752e-05,5.718100547790527,246.64263916015625,4824.2099609375,1.5606106519699097,4.683107852935791,1.5246731042861938,4.506700038909912,0.841860294342041,1.1549568176269531
10.0,9.999999747378752e-05,3.015678882598877,39.04054641723633,723.512939453125,1.4295567274093628,3.617392063140869,3.908200263977051,133.5620574951172,51.002418518066406,2602.510986328125
11.0,9.999999747378752e-05,2.0118978023529053,51.94487380981445,1000.6714477539062,0.9216448664665222,1.6606593132019043,0.9568946361541748,1.7298779487609863,1.6266409158706665,3.0450329780578613
12.0,9.999999747378752e-05,3.3490233421325684,156.61593627929688,3068.687255859375,0.8898006677627563,1.5765111446380615,1.0274351835250854,2.1800038814544678,3.642493724822998,13.646366119384766
13.0,9.999999747378752e-05,3.1776602268218994,207.03614807128906,4080.34765625,1.3816981315612793,3.6573896408081055,1.3484033346176147,3.5153276920318604,0.7158031463623047,0.8161508440971375
14.0,9.999999747378752e-05,1.769821286201477,28.975284576416016,545.8790893554688,0.785258948802948,1.2541041374206543,0.9162237048149109,1.783366084098816,3.4045543670654297,11.839341163635254
15.0,9.999999747378752e-05,1.1707746982574463,45.44182586669922,886.591796875,0.716871440410614,1.0608168840408325,1.0870569944381714,4.316076755523682,8.120583534240723,66.16600799560547
16.0,9.999999747378752e-05,2.0486865043640137,155.4187774658203,3069.4501953125,0.7114085555076599,1.0378409624099731,1.311923623085022,9.08791446685791,12.721710205078125,162.039306640625
17.0,9.999999747378752e-05,1.2185914516448975,99.0719223022461,1958.2852783203125,0.8703107833862305,1.5053505897521973,0.872741162776947,1.489287257194519,0.9189187288284302,1.1840884685516357
18.0,9.999999747378752e-05,0.8185344338417053,27.18801498413086,528.2081298828125,0.6743435263633728,0.9327172040939331,0.6805381178855896,0.9267684817314148,0.798236608505249,0.8137439489364624
