epoch,lr,train_neg_dy_mse_loss,train_total_mse_loss,train_y_mse_loss,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
0.0,9.999999747378752e-05,301.6051940917969,635982464.0,12719643648.0,6.684934616088867,81.76675415039062,6.519100666046143,78.60707092285156,3.368245840072632,18.572914123535156
1.0,9.999999747378752e-05,34.48622512817383,33.850772857666016,21.7772159576416,2.768550157546997,15.15125846862793,3.0549349784851074,18.13840103149414,8.496248245239258,74.89414978027344
2.0,9.999999747378752e-05,253.71473693847656,7760.4912109375,150389.25,9.439066886901855,166.12884521484375,9.739664077758789,173.8275604248047,15.450996398925781,320.10296630859375
3.0,9.999999747378752e-05,61.031837463378906,311.3573303222656,5067.5419921875,3.4763619899749756,23.12436294555664,3.614250898361206,24.29439353942871,6.23413610458374,46.52501678466797
4.0,9.999999747378752e-05,15.157864570617676,259.7596130371094,4907.1923828125,2.2225394248962402,9.570858001708984,2.8283023834228516,19.501375198364258,14.337796211242676,208.18116760253906
5.0,9.999999747378752e-05,7.407026290893555,126.34912109375,2386.2490234375,1.6564967632293701,5.2339677810668945,3.158573865890503,55.27802658081055,31.69803810119629,1006.1151733398438
6.0,9.999999747378752e-05,32.53739547729492,1158.0731201171875,22543.251953125,2.181295156478882,9.060382843017578,3.0550832748413086,28.023897171020508,19.657054901123047,388.3306884765625
7.0,9.999999747378752e-05,6.483880996704102,104.99569702148438,1976.719970703125,1.6101974248886108,5.0004963874816895,2.3032901287078857,16.7663631439209,15.472052574157715,240.31784057617188
8.0,9.999999747378752e-05,3.840008497238159,77.07382202148438,1468.5162353515625,1.368198037147522,3.6442580223083496,2.6377322673797607,39.32252883911133,26.758886337280273,717.2095947265625
9.0,9.999999747378752e-05,8.502069473266602,301.0267333984375,5858.9951171875,1.304042100906372,3.3310351371765137,2.139279842376709,19.426271438598633,18.008798599243164,325.23577880859375
10.0,9.999999747378752e-05,2.6338882446289062,63.15446472167969,1213.04541015625,1.033753514289856,2.1171715259552,1.337203025817871,4.558146953582764,7.102741241455078,50.93667221069336
11.0,9.999999747378752e-05,6.089469909667969,279.89337158203125,5482.1669921875,1.2053110599517822,2.8624134063720703,1.2860862016677856,3.148064374923706,2.8208096027374268,8.575437545776367
12.0,9.999999747378752e-05,2.0010955333709717,45.84056854248047,878.7905883789062,0.9749665260314941,1.869483232498169,2.908975601196289,80.42110443115234,39.65514373779297,1572.9019775390625
13.0,9.999999747378752e-05,1.5070196390151978,51.69828414916992,1005.3323974609375,0.9364868402481079,1.612315058708191,2.1346025466918945,32.54623794555664,24.8987979888916,620.290771484375
14.0,9.999999747378752e-05,4.000842094421387,159.40110778808594,3112.005859375,0.811787486076355,1.3336994647979736,1.1198526620864868,3.711676597595215,6.973090648651123,48.893245697021484
15.0,9.999999747378752e-05,1.7231533527374268,101.09953308105469,1989.250732421875,0.7590401768684387,1.1928091049194336,0.7804946899414062,1.215667486190796,1.188130497932434,1.6499786376953125
16.0,9.999999747378752e-05,0.9990345239639282,41.387351989746094,808.7654418945312,0.6832690834999084,0.9536545872688293,0.8709099292755127,1.8995230197906494,4.436086654663086,19.871023178100586
17.0,9.999999747378752e-05,1.12321138381958,64.61331939697266,1270.92529296875,0.6146242022514343,0.785879373550415,0.6822232007980347,0.9502922892570496,1.9666047096252441,4.074136734008789
18.0,9.999999747378752e-05,1.0364370346069336,79.45840454101562,1569.475830078125,0.738714337348938,1.1166982650756836,0.8096407651901245,1.3061678409576416,2.157240867614746,4.906087875366211
