condition,seed,energy_mae,force_mae,mean_per_molecule_momentum_violation,max_per_molecule_momentum_violation,final_epoch,total_wall_seconds
water_absolute,0,16059.903973388671,3.00461261048913,138.40985743403434,1289.7354736328125,48.0,12948.079625160433
water_absolute,1,3.59779052734375,0.7524299817159772,60.27561243213713,1352.082275390625,48.0,13039.04062830098
water_absolute,2,2.89619140625,0.6218533148057759,47.22763978727162,1426.685546875,48.0,12957.723475180566
water_absolute,3,4.08248291015625,0.5640114711597561,35.209281797800216,293.02783203125,48.0,12948.20657293871
water_absolute,4,3.78314208984375,0.6347763206809759,57.0071306749247,907.213134765625,48.0,13020.862134575844
water_absolute,5,2.43302001953125,0.7810105707496404,46.57801373526454,390.57080078125,48.0,12904.160467511974
water_absolute+momentum,0,4.16212158203125,0.6127632318064571,49.42860063482076,1500.34033203125,48.0,26477.106881362386
water_absolute+momentum,1,3.8871826171875,0.570622403267771,51.40225335946307,764.4918212890625,48.0,26556.371998737566
water_absolute+momentum,2,3.1986328125,0.6796140246093273,49.14254606859758,1686.61083984375,48.0,26576.27273060009
water_absolute+momentum,3,3.1473388671875,0.575535487011075,39.15519346143119,726.0388793945312,48.0,26498.172547404654
water_absolute+momentum,4,6.0013427734375,0.7715981448069215,64.02618920393289,1228.836181640625,48.0,26417.297255791724
water_absolute+momentum,5,2.57974853515625,0.8021787408739328,41.45802039075643,300.3827209472656,48.0,26396.943129824474
