cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_y_mse_loss,train_y_weight,val_checkpoint_score,val_checkpoint_score_raw,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
513.8758502788842,0.0,513.8758502788842,80,9.999999747378752e-05,4.338875770568848,0.949999988079071,38341740.0,766834688.0,0.05000000074505806,inf,27274028.0,1.8498138189315796,7.490596294403076,1169.5323486328125,27274026.0,23355.5,545480384.0
770.6512694172561,1.0,256.77541913837194,120,9.999999747378752e-05,14.640634536743164,0.949999988079071,14588538.0,291770432.0,0.05000000074505806,inf,3523598.5,3.601635694503784,29.218399047851562,423.153076171875,3523598.75,8394.630859375,70471416.0
1024.6478528492153,2.0,253.99658343195915,160,9.999999747378752e-05,98.94969940185547,0.949999988079071,587552.4375,11749167.0,0.05000000074505806,inf,1973.17626953125,3.5530495643615723,25.27363395690918,13.193224906921387,1973.1761474609375,196.35655212402344,38983.32421875
1280.6702457237989,3.0,256.0223928745836,200,9.999999747378752e-05,16.654766082763672,0.949999988079071,427.96649169921875,8242.8896484375,0.05000000074505806,inf,74.86518859863281,2.4582197666168213,12.814337730407715,3.8688926696777344,74.86518096923828,30.671680450439453,1253.831298828125
1536.2164616286755,4.0,255.5462159048766,240,9.999999747378752e-05,11.321586608886719,0.949999988079071,234.88104248046875,4482.51025390625,0.05000000074505806,inf,408.1915588378906,2.264356851577759,10.96338939666748,6.572848796844482,408.1915588378906,88.43419647216797,7955.52685546875
1791.3378454204649,5.0,255.1213837917894,280,9.999999747378752e-05,8.670763969421387,0.949999988079071,278.7236022949219,5409.7275390625,0.05000000074505806,inf,10.596196174621582,1.76912522315979,7.353065490722656,1.976292610168457,10.596195220947266,5.9124755859375,72.2156753540039
2047.6771232839674,6.0,256.3392778635025,320,9.999999747378752e-05,5.929780960083008,0.949999988079071,423.4171142578125,8355.6767578125,0.05000000074505806,inf,1452.3433837890625,1.5111311674118042,5.393591403961182,9.935561180114746,1452.3431396484375,169.99974060058594,28944.388671875
2303.0363433416933,7.0,255.3592200577259,360,9.999999747378752e-05,5.013824462890625,0.949999988079071,526.424560546875,10433.228515625,0.05000000074505806,inf,992.8838500976562,1.4211214780807495,4.872888565063477,8.37248420715332,992.8837890625,140.44837951660156,19765.091796875
2558.2128431126475,8.0,255.17649977095425,400,9.999999747378752e-05,4.751321792602539,0.949999988079071,447.2967224121094,8855.658203125,0.05000000074505806,inf,585.1474609375,1.3975675106048584,4.728072643280029,6.706958770751953,585.1474609375,107.58538818359375,11613.115234375
2814.919164629653,9.0,256.70632151700556,440,9.999999747378752e-05,4.5997748374938965,0.949999988079071,461.4415283203125,9141.435546875,0.05000000074505806,inf,339.6389465332031,1.3688033819198608,4.586860179901123,5.383925914764404,339.638916015625,81.67125701904297,6705.62841796875
3070.3485102318227,10.0,255.42934560216963,480,9.999999747378752e-05,4.467014789581299,0.949999988079071,259.8880615234375,5112.8876953125,0.05000000074505806,inf,70.34121704101562,1.2776695489883423,4.037611961364746,2.962714910507202,70.34122467041016,34.97857666015625,1330.1097412109375
3325.7207804471254,11.0,255.3722702153027,520,9.999999747378752e-05,3.7725017070770264,0.949999988079071,157.8701171875,3085.724853515625,0.05000000074505806,inf,52.10719299316406,1.2091113328933716,3.7547242641448975,2.6857004165649414,52.1071891784668,30.740894317626953,970.8041381835938
3583.142492586747,12.0,257.4217121396214,560,9.999999747378752e-05,3.665156364440918,0.949999988079071,168.55885314941406,3301.53857421875,0.05000000074505806,inf,509.3347473144531,1.1919574737548828,3.6947174072265625,6.154736042022705,509.334716796875,100.44752502441406,10116.4951171875
3838.62049517408,13.0,255.47800258733332,600,9.999999747378752e-05,3.40440034866333,0.949999988079071,201.98976135253906,3975.111572265625,0.05000000074505806,inf,4.35078239440918,1.0953946113586426,3.1654117107391357,1.2244261503219604,4.350782871246338,3.676025390625,26.872821807861328
4094.1708620060235,14.0,255.5503668319434,640,9.999999747378752e-05,3.0138845443725586,0.949999988079071,212.90277099609375,4200.79150390625,0.05000000074505806,inf,11.850257873535156,1.0172675848007202,2.784367799758911,1.6036986112594604,11.850258827209473,12.74588680267334,184.1021728515625
4351.0636138655245,15.0,256.892751859501,680,9.999999747378752e-05,2.6568102836608887,0.949999988079071,145.32113647460938,2855.943115234375,0.05000000074505806,inf,139.5600128173828,0.9665452837944031,2.501314401626587,3.529572010040283,139.5600128173828,52.22707748413086,2743.675048828125
4607.020604746416,16.0,255.95699088089168,720,9.999999747378752e-05,2.4310643672943115,0.949999988079071,155.0516815185547,3054.843017578125,0.05000000074505806,inf,22.67694664001465,0.9106020927429199,2.3206775188446045,1.8504688739776611,22.67694664001465,19.707935333251953,409.446044921875
4862.520809683949,17.0,255.50020493753254,760,9.999999747378752e-05,2.272475242614746,0.949999988079071,136.33567810058594,2683.53662109375,0.05000000074505806,inf,109.94945526123047,0.8716821074485779,2.1604294776916504,3.1426799297332764,109.9494400024414,46.2916374206543,2157.94091796875
5118.1365836933255,18.0,255.61577400937676,800,9.999999747378752e-05,2.2803542613983154,0.949999988079071,141.7189178466797,2791.0517578125,0.05000000074505806,inf,9.297752380371094,0.9789161086082458,2.454326868057251,1.4202332496643066,9.297751426696777,9.805261611938477,139.3228302001953
