condition,seed,energy_mae,force_mae,mean_per_molecule_momentum_violation,max_per_molecule_momentum_violation,final_epoch,total_wall_seconds
water_absolute,0,4.782470703125,0.6355209717527032,41.92747720032931,1430.2705078125,48.0,12876.617367982864
water_absolute,1,5.474951171875,0.5755845866166055,47.41221926789731,1113.133544921875,48.0,12907.500938653946
water_absolute,2,16.499462890625,2.55557449311018,154.89083409309387,3032.349365234375,48.0,12857.301719564945
water_absolute,3,2.46859130859375,0.6124451195821166,31.963493652455508,556.7413940429688,48.0,12828.598882802762
water_absolute,4,3.184375,0.6957287291064859,47.75006449362263,856.2788696289062,48.0,12834.479106227867
water_absolute,5,3.23392333984375,0.7071758223697543,41.29807016476989,348.68603515625,48.0,12814.576439682394
water_absolute+momentum,0,4.65948486328125,0.6753090430051089,45.156189317628744,1902.709716796875,48.0,26084.558414620347
water_absolute+momentum,1,7.15540771484375,0.6045048542320728,45.652636939939114,1161.95703125,48.0,25968.35291786492
water_absolute+momentum,2,6.71251220703125,0.6133885910734534,38.460263918712734,1514.24853515625,48.0,26049.303792729974
water_absolute+momentum,3,2.0291259765625,0.6171822983771562,49.29556270316243,2740.09033203125,48.0,26051.355949942023
water_absolute+momentum,4,5.0992919921875,0.6118523381650448,48.11883348794654,776.91259765625,48.0,26038.18792925775
