condition,n_seeds,energy_mae_mean,energy_mae_std,force_mae_mean,force_mae_std,mean_per_molecule_momentum_violation_mean,mean_per_molecule_momentum_violation_std,max_per_molecule_momentum_violation_mean,max_per_molecule_momentum_violation_std,final_epoch_mean,final_epoch_std,total_wall_seconds_mean,total_wall_seconds_std
water_absolute,3,8.919014485677083,6.57399647030754,1.2555600201090176,1.1262443427523727,81.41017260135462,63.695173066497205,1858.5840250651042,1028.8031443215336,48.0,0.0,12818.020168535411,11.460969051064192
water_absolute+momentum,3,6.175703938802084,1.3323125559720361,0.6310674980903666,0.03857092606706832,43.089696099888535,4.016881833644767,1526.3051350911458,370.5233008012738,48.0,0.0,25913.984165905975,9.857307140347869
