epoch,lr,train_loss_momentum,train_loss_nve,train_loss_pbc,train_neg_dy_mse_loss,train_nve_weight_effective,train_total_mse_loss,train_total_with_physics,train_y_mse_loss,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
0,,,,,,,,,,,,,,,
0.0,2.051110459433403e-05,7.699578279639352e-13,0.0,0.0,740.651123046875,0.0,7453469184.0,7453773824.0,149069365248.0,19.60552215576172,697.3356323242188,17018.029296875,5779594752.0,339988.0625,115591872512.0
1.0,2.051110459433403e-05,3.3585596109775295e-11,2.2245432492601358e-13,0.0,724.1041870117188,0.010018275119364262,2533135104.0,2533596416.0,50662686720.0,12.46484375,273.83551025390625,12.230813026428223,264.44140625,7.784213542938232,85.95398712158203
2.0,2.051110459433403e-05,1.2234341317807207e-09,2.9612757558583613e-12,0.0,69.59871673583984,0.020036550238728523,160.2213897705078,160.2397003173828,1882.05224609375,3.492746591567993,24.563329696655273,4.334903240203857,44.22976303100586,20.33586883544922,417.89202880859375
3.0,2.051110459433403e-05,1.1091999541079645e-09,4.111056547267955e-12,0.0,42.35536575317383,0.030055195093154907,98.9971923828125,98.99039459228516,1175.1920166015625,2.831683397293091,16.137672424316406,3.9904446601867676,49.314212799072266,26.006906509399414,679.6685180664062
4.0,2.051110459433403e-05,1.108352520873268e-09,2.8918770589997367e-12,0.0,40.75879669189453,0.030055195093154907,116.6279296875,116.64701080322266,1558.1416015625,2.954274892807007,16.69736671447754,4.93890380859375,106.95565032958984,42.646846771240234,1821.8629150390625
5.0,2.051110459433403e-05,1.037213759325084e-09,3.3738437391073184e-12,0.0,14.014334678649902,0.030055195093154907,24.731922149658203,24.73277473449707,228.36605834960938,2.21319580078125,9.9899320602417,2.3822860717773438,11.157267570495605,5.595000743865967,33.336639404296875
6.0,2.051110459433403e-05,1.0109110215594797e-09,3.1675718905471717e-12,0.0,18.886402130126953,0.030055195093154907,46.921730041503906,46.927608489990234,579.5929565429688,1.8958204984664917,7.703990936279297,2.0315663814544678,8.45737075805664,4.61073637008667,22.771583557128906
7.0,2.051110459433403e-05,9.585969795722349e-10,3.1456334932677965e-12,0.0,17.285324096679688,0.030055195093154907,54.56111526489258,54.570003509521484,762.8011474609375,1.9399241209030151,7.556066989898682,2.7121829986572266,22.353008270263672,17.38510513305664,303.4949035644531
8.0,2.051110459433403e-05,9.276140966463231e-10,3.610663851238982e-12,0.0,23.60698127746582,0.030055195093154907,78.52212524414062,78.53268432617188,1121.9097900390625,1.813575267791748,7.697429180145264,1.7749683856964111,7.398009777069092,1.0414375066757202,1.7090322971343994
9.0,2.051110459433403e-05,9.145464385795776e-10,3.1060846169411738e-12,0.0,18.07305335998535,0.030055195093154907,67.05170440673828,67.06290435791016,997.6459350585938,1.6235816478729248,5.647953033447266,2.293513536453247,16.69781494140625,15.022218704223633,226.64520263671875
10.0,2.051110459433403e-05,8.999324618841342e-10,3.1201579948209046e-12,0.0,22.947044372558594,0.030055195093154907,80.45295715332031,80.46338653564453,1173.0654296875,1.8342461585998535,6.935085296630859,3.1226322650909424,44.7329216003418,27.601966857910156,762.8917846679688
11.0,2.051110459433403e-05,8.550188335121334e-10,2.804366981690176e-12,0.0,19.007980346679688,0.030055195093154907,62.86911392211914,62.87460708618164,896.2306518554688,1.6578078269958496,5.816697597503662,2.1836442947387695,12.982104301452637,12.174537658691406,149.1248321533203
12.0,2.051110459433403e-05,8.680197116639476e-10,3.1999895355044883e-12,0.0,12.404585838317871,0.030055195093154907,39.49655532836914,39.42633056640625,554.2439575195312,12.277759552001953,260.5738830566406,13.72492504119873,333.87310791015625,41.22108840942383,1726.5587158203125
13.0,2.051110459433403e-05,8.145714103235946e-10,3.218623501402562e-12,0.0,4.883708953857422,0.030055195093154907,13.779243469238281,13.780037879943848,182.79440307617188,1.3387373685836792,3.7157366275787354,1.5671747922897339,5.305490493774414,5.9074859619140625,35.51081848144531
14.0,2.051110459433403e-05,8.020841213429719e-10,3.187411706101484e-12,0.0,11.117311477661133,0.030055195093154907,48.672760009765625,48.679161071777344,762.2262573242188,1.2453691959381104,3.243729829788208,1.8975011110305786,13.315361976623535,14.288009643554688,204.67637634277344
15.0,2.051110459433403e-05,7.896394649264948e-10,3.2523183365190667e-12,0.0,11.223191261291504,0.030055195093154907,45.501197814941406,45.44534683227539,696.7833251953125,4.64396858215332,41.46219253540039,5.632072925567627,69.34220886230469,24.40605354309082,599.0624389648438
16.0,2.051110459433403e-05,7.616497987861237e-10,2.9755347491500217e-12,0.0,13.771615982055664,0.030055195093154907,50.102516174316406,50.10768127441406,740.3896484375,1.7142791748046875,5.999886989593506,1.8244291543960571,6.50383186340332,3.917283535003662,16.078779220581055
17.0,2.051110459433403e-05,7.445373761960639e-10,3.5724754317983942e-12,0.0,9.727314949035645,0.030055195093154907,44.49253463745117,44.4815559387207,705.0316772460938,1.3981966972351074,3.8228983879089355,3.566192388534546,103.8302230834961,44.758113861083984,2003.96923828125
18.0,2.051110459433403e-05,7.204643548419654e-10,2.95750988803245e-12,0.0,12.343644142150879,0.030055195093154907,48.312767028808594,48.3205680847168,731.72607421875,1.3039604425430298,3.551046848297119,1.2720239162445068,3.408205270767212,0.6652313470840454,0.6942251920700073
