condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,1,6.416324539998186,0.004103784630242867,1225.597382929878,68.03872049509577
water_absolute,0,2,2.4222310172300845,0.001549026287800362,1050.5338313724387,43.40601278739711
water_absolute,0,3,1.519422002900228,0.0009719099841763758,1247.96076361801,51.648772174206414
water_absolute,0,4,7.356522253530784,0.004707502568456453,1535.0358987671584,62.89471010031048
water_absolute,0,5,2.1747547926338484,0.001391087696818276,1367.5110662838672,58.690728955278736
water_absolute+momentum,0,1,4.741613165056909,0.0030319868219621468,1424.5616875337862,63.82947181859589
water_absolute+momentum,0,2,5.424529901252602,0.003467987399392935,1254.6410586913694,40.19772346482426
water_absolute+momentum,0,3,10.918240322477383,0.006982268190383862,1441.4802204529394,61.123877590623074
water_absolute+momentum,0,4,8.83815257734947,0.005654212069206666,1626.5701191226374,72.90218032916887
water_absolute+momentum,0,5,7.882276454741563,0.005041092855825652,1548.6269087792687,69.90594779343833
