condition,velocity_seed,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,12.252896407630942,0.007840401700988752,1898.5211457612963,74.40214871236202
water_absolute,1,76.01068415607415,0.0486376715735847,2050.6579150348275,90.80506341348637
water_absolute,2,6.664377657955356,0.0042644819228419535,1867.8146255350068,76.23129833341035
water_absolute,3,20.07922822023526,0.012848403127102288,2027.4738399794612,68.73394925738268
water_absolute,4,25.45184304064681,0.01628588172577463,1899.9913846833556,86.38077080841339
water_absolute+momentum,0,41.595598039881075,0.026618568391843903,2270.0780275473235,102.1112164468164
water_absolute+momentum,1,101.84955761040253,0.0651771195742934,2533.010647375176,102.30565661306574
water_absolute+momentum,2,80.58845928157628,0.05157241854678835,2264.4165232746523,109.04151317897666
water_absolute+momentum,3,38.84329337002631,0.0248574257452035,2252.1723832998555,102.04326231311988
water_absolute+momentum,4,61.68948066903113,0.03947672540630157,2263.0365953097853,104.0770516544632
