cumulative_wall_seconds,epoch,epoch_wall_seconds,global_step,lr,train_neg_dy_mse_loss,train_neg_dy_weight,train_total_mse_loss,train_y_mse_loss,train_y_weight,val_checkpoint_score,val_neg_dy_l1_loss,val_neg_dy_mse_loss,val_total_l1_loss,val_total_mse_loss,val_y_l1_loss,val_y_mse_loss
517.0505029018968,0.0,517.0505029018968,80,9.999999747378752e-05,63.03074264526367,0.949999988079071,40906456.0,818127936.0,0.05000000074505806,33108128.0,6.478324890136719,61.25605392456055,1292.7784423828125,33108128.0,25732.478515625,662161408.0
775.5543711790815,1.0,258.50386827718467,120,9.999999747378752e-05,68.82587432861328,0.949999988079071,23483970.0,469678112.0,0.05000000074505806,13459463.0,6.9514689445495605,75.4503173828125,826.9489135742188,13459464.0,16406.900390625,269187808.0
1034.1336145075038,2.0,258.5792433284223,160,9.999999747378752e-05,84.61980438232422,0.949999988079071,6150063.5,122999656.0,0.05000000074505806,624268.0,7.1685333251953125,78.54360961914062,183.46389770507812,624267.9375,3533.075927734375,12483867.0
1289.5350028648973,3.0,255.40138835739344,200,9.999999747378752e-05,78.22593688964844,0.949999988079071,65214.15625,1302796.875,0.05000000074505806,197.532470703125,5.753629207611084,51.960060119628906,7.858544826507568,197.53245544433594,47.8519401550293,2963.408203125
1548.8744988972321,4.0,259.33949603233486,240,9.999999747378752e-05,28.607572555541992,0.949999988079071,138.0565948486328,2217.588134765625,0.05000000074505806,148.68040466308594,3.2032973766326904,16.872079849243164,5.489134311676025,148.68040466308594,48.9200439453125,2653.03857421875
1807.390532755293,5.0,258.51603385806084,280,9.999999747378752e-05,12.80422306060791,0.949999988079071,372.1524353027344,7199.76806640625,0.05000000074505806,44.48063278198242,1.7622089385986328,7.516549587249756,2.996518850326538,44.48063278198242,26.448413848876953,746.7982177734375
2065.9763282090425,6.0,258.5857954537496,320,9.999999747378752e-05,6.885626792907715,0.949999988079071,169.15664672851562,3252.30615234375,0.05000000074505806,343.76263427734375,1.4856194257736206,5.47595739364624,5.512320041656494,343.7626647949219,82.0196304321289,6771.20947265625
2321.713020535186,7.0,255.73669232614338,360,9.999999747378752e-05,6.047729015350342,0.949999988079071,203.05799865722656,3946.2529296875,0.05000000074505806,224.12184143066406,1.5353922843933105,5.623856067657471,4.749389171600342,224.12185668945312,65.8153305053711,4375.58349609375
2581.1936841756105,8.0,259.4806636404246,400,9.999999747378752e-05,6.308646202087402,0.949999988079071,164.37098693847656,3167.555419921875,0.05000000074505806,38.63496017456055,1.6090195178985596,5.877712726593018,2.776167631149292,38.63496017456055,24.95197868347168,661.0226440429688
2839.156287247315,9.0,257.9626030717045,440,9.999999747378752e-05,6.390072822570801,0.949999988079071,177.87705993652344,3436.129638671875,0.05000000074505806,32.764503479003906,1.5708234310150146,5.731001377105713,2.6241815090179443,32.76450729370117,22.637989044189453,546.4010620117188
